ID,Source_File,Newspaper,Date,Length,Author,Headline,Article,Newspapertype,Rightwing,year_month,Solidarity,Category
257,src_dailyexpress_raw.docx,Daily Express,22/9/2015,146 words,NA,Syrian refugee crisis will bring EU to its knees; Letter of the day,"THE Balkan states appear to be dividing and on the way to disintegration under the pressure of heavy immigration brought on by Germany's disastrous offer to admit 800,000 migrants this year and another 800,000 next year (""Syrians are on way to UK but minister won't say how many"", September 21). This influx has resulted in the Hungarians building a wall and kaleidoscopic changes of policy all round. The situation could destabilise Europe, including and especially the UK. We have difficulty in absorbing the migrants we have already got. But the underlying realities are clear. If the European Union in its present form were to collapse, it would be necessary to form some sort of organisation for Europe's collective defence. We would have to hope that we had learnt from past mistakes. Whether we like it or not, survival depends on cooperation. Margaret Brown, Burslem, Staffs Graphic   CHAOS: Migrants at the Hungary/Serbia border",Tabloid,1,2015-09,0,Migration
324,src_dailyexpress_raw.docx,Daily Express,7/9/2015,101 words,Ben Endley,Cooper: I'll put up refugees,"LABOUR leadership contender Yvette Cooper said yesterday she would put up Syrian refugees in her home. She paid tribute to offers of help from people across the country on Sky News' Murnaghan show. Asked if she would be prepared to help, she said: ""If that was what was needed, then of course."" Her comments came as the Pope urged every religious community to take in a migrant family each. He said the Vatican will shelter two families of refugees who are ""fleeing death"". More than 2,000 people have offered to house refugees in their own homes as ordinary Britons lead the way in responding to the refugee crisis.",Tabloid,1,2015-09,1,Aid
261,src_dailyexpress_raw.docx,Daily Express,6/4/2016,231 words,Allan Hall,"500,000 refugees in Germany 'vanish'","HALF a million refugees who entered Germany in the past 18 months have vanished off the radar after failing to register with authorities. Worried officials say they must either be working on the black market or have turned to crime because no registration means they get no benefits. Germany's Federal Criminal Police will present their concerns to Chancellor Angela Merkel today. They are expected to report that most migrant crime is committed by those from Balkan countries. Syrians, Iraqis and Afghanis ""barely feature in the statistics"", a spokesman said. The police have also completed an overview of the events in Cologne on New Year's Eve which saw bands of migrants, mostly from North Africa, sexually molest and rob hundreds of women around the main train station. The episode polarised society and has put Mrs Merkel under threat at next year's general election. Police said they found no evidence of organised crime and put the attacks down to ""cultural"" differences fuelled by alcohol. Meanwhile Greece yesterday temporarily halted the deportation of migrants to Turkey under a deal struck last month. More than 200 were shipped from the Greek islands to the Turkish town of Dikil on Monday while Syrian refugees were flown from Turkey to a camp in Friedland in central Germany. Despite protests at a migrant camp on Lesbos, deportations are expected to resume later this week. Graphic   A Syrian refugee girl arrives at a camp in Germany after being flown in from Turkey, left, while, right, on Lesbos in Greece yesterday migrants protest against moves to return them to TurkeyPictures: MILOS BICANSKI/GETTY, KAI PFAFFENBACH/REUTERS",Tabloid,1,2016-04,0,Migration
276,src_dailyexpress_raw.docx,Daily Express,5/4/2016,334 words,Cyril Dixon,Greece returns 200 migrants to Turkey at start of Brussels deal,"MORE than 200 migrants were shipped back to Turkey from Greece yesterday as a £2billion plan to stop the influx of illegals got under way. Three boatloads of refugees who had sailed into Europe across the Aegean Sea were transported back the same way. They were returned under a controversial scheme thrashed out between the Turks and the EU to return hundreds of thousands of people who enter Europe from Turkey via Greece. In an exchange included in last month's deal between Ankara and Brussels, 32 Syrian refugees were flown to Germany from Istanbul. The authorities in all three countries involved said despite opposition to the deal the operations passed off smoothly. European Commission spokesman Margaritis Schinas said the operation was managed by border security body Frontex with the help of police and migration experts. He said: ""We didn't see unrest or riots. The operation was organised properly."" But in an indication of the diffi-culties facing the project 339 new migrants were picked up arriving in Greece - 50 per cent more than had been sent to Turkey in the preceding 24 hours. Helicopters The returnees were mostly Pakistanis and Afghans who were ferried from Lesbos and Chios to the Turkish town of Dikili. All the boats were accompanied by Turkish coastguard vessels and police helicopters. The Syrians were flown on two separate flights to Hanover, then moved on to Lower Saxony. Further resettlements are planned to Finland and the Netherlands. Under the Turkey-EU deal, Brussels handed the Ankara government £2.2billion in aid, including £500million from Britain. Critics have accused the Turks of using immigration to squeeze money out of Europe and of ""building up muscle"" to force its way into the EU. Human rights groups attacked the deal for sending displaced people back to war-torn regions and not being able to guarantee their safety en route. Gauri van Gulik, of Amnesty International, who was overseeing the Lesbos operation yesterday said Turkey was not safe for the migrants. Graphic   Migrant's verdict as he arrives in Turkey yesterdayNew arrivals are fingerprinted yesterday as they are returned to Turkey by seaPictures: TOLGA BOZOGLU/EP, MURAD SEZER/REUTERS, ARIS MESSINIS/AFP, ANADOLU AGENCYOut and in… a packed boat arrives in Dukili, Turkey while, inset above, more people picked up by the coastguard land in Greece",Tabloid,1,2016-04,0,Policy
278,src_dailyexpress_raw.docx,Daily Express,2/9/2015,311 words,David Pilditch,Hungary sparks migrant fury by closing railway to West,"HUNGARY was last night preparing to draft in troops to protect its borders while hundreds of asylum-seekers laid siege to a main railway station. The capital Budapest was on the brink of civil disorder as refugees protested at the closure of international Keleti station - following clashes between migrants earlier in the day. The station was later reopened to other passengers sparking a protest by around 1,000 people, mostly fleeing war-torn Syria, and travelling to Munich or Vienna. Around 100 police formed a blockade as people tried to storm on to trains to the West. The chaos came as the Europe's refugee crisis deepened last night. Ukip leader Nigel Farage said the UK should offer refugee status to ""a few thousand people"" from Syria but cannot be an open door. He said: ""The problem we've got is, potentially, we've opened the door to an exodus of biblical proportions, meaning millions and millions of people. ""We've lost sight of what is a genuine refugee. How many millions does Europe want to take? That really is the question."" He told BBC Radio 4's Today programme: ""The problem we have now is if you look at the definition of the EU's asylum policy, it includes anybody who comes from a war-torn country - and it even includes people leaving extreme poverty. ""The EU has sent the message that anybody who comes across the Mediterranean or Turkey - once they have set foot in an EU country they will be accepted. That's a message to hundreds of thousands of people."" Hungary has become the flashpoint of the European migrant crisis as the primary gateway to the EU through the Balkans. After the clashes yesterday, officials announced there would be no trains leaving for Austria or Germany until further notice. Last night, Hungary's defence ministry said up to 3,500 soldiers could be sent to the southern border with Serbia to help with the refugee crisis. Graphic   Police prevent hundreds of mostly Syrian refugees from boarding trains bound for Vienna and Munich yesterday. Above, the closure of Budapest's main Keleti railway station sparked protestsPictures: ZOLTAM BALOGH/EPA, LASZLO BALOGH/REUTERS, ITALIAN NAVY PRESS OFFICE",Tabloid,1,2015-09,0,Migration
271,src_dailyexpress_raw.docx,Daily Express,14/5/2016,323 words,Alison Little,New refugee crisis fear as visas-for-Turks talks falter,"THE EU deal with Turkey to ease the migrant crisis is feared to be on the brink of collapse. Turkey's EU minister Volkan Bozkir said yesterday talks on giving his countrymen visa-free travel in Europe's passport-free Schengen zone as soon as next month had reached stalemate. He said: ""I am not very optimistic about the outcome of the talks we held in Brussels today. ""It's essential that the European Commission finds a new formula."" The warning came after Turkish President Tayyip Erdogan accused the EU of setting new hurdles for his country. One of 72 conditions Brussels has set is that Turkey narrows its definition of terrorism. Critics claim Ankara is using terror laws to stifle legitimate dissent and press freedom. But the government argued that it needs the powers to fight Kurdish and Islamic State attacks. Turkey said yesterday that eight of its soldiers and 22 militants had been killed in clashes in the past two days in the Kurddominated south-east. Mr Erdogan has ruled out any return to talks with the separatists PKK and has vowed to crush the group seeking autonomy. Tension with the EU now threatens to scupper the deal under which Europe offers Turkey visa-free travel to Schengen countries - which do not include Britain - and cash to help with the thousands of Syrian refugees who have fled over its border. Turkey is also being offered faster talks on joining the EU. The package is in return for Turkey taking back those who arrive on the Greek islands. For every refugee returned to Turkey, the EU will resettle a Syrian already in Turkey, as part of efforts to deter refugees risking their lives crossing the sea. EU border agency Frontex said yesterday that the numbers arriving in Greece dropped 90 per cent last month compared with March, seen as a sign that the deal with Turkey was working. About 2,700 people arrived in Greece from Turkey last month, mostly from Syria, Pakistan, Afghanistan and Iraq. COMMENT: PAGE 12 Graphic   Refugees escorted off a ferry back to Turkey last month",Tabloid,1,2016-05,0,Policy
106,src_dailymail_raw.docx,Daily Mail,10/9/2015,585 words,BY DAILY MAIL COMMENT,JUNCKER'S EU VISION IS ANOTHER OWN GOAL,"CAMPAIGNERS for Britain's exit from the EU will be quietly pleased after yesterday's vainglorious State of the Union' address, in which Commission president Jean-Claude Juncker outlined his vision of Europe's future. Hundreds of thousands of passports to be handed out, allowing economic migrants into Britain… compulsory quotas, forcing member states to accept 160,000 refugees, with more to follow… Internal borders to be kept open… asylum-seekers given the right to work while they are processed… an end to the requirement that migrants are vetted where they first land… full mobility of labour, with centrally-agreed pay rules… Thankfully, Britain retains an opt-out from quotas. But while we're signed up to the EU's free movement rules, we'll remain at the mercy of our partners if they grant citizenship to all-comers. And how much longer could we resist the pressure to hand Brussels full control of our migration and asylum policy (and much else besides), if David Cameron fails to secure agreement to radical reform of our membership terms? Indeed, every word of Mr Juncker's speech, with his demands for ever-closer union, might have been calculated to boost the Better Off Out brigade, in a Britain whose public services are under acute strain after 15 years of the most dramatic mass immigration in our history. It's very different for Germany. With a population forecast to shrink by 10.5million before 2060, leaving fewer working age Germans than pensioners, it is desperate to expand its labour force. Doesn't this explain Angela Merkel's readiness to accept migrants - rather than pure compassion, as she pretends? By contrast, Brussels predicts Britain's population will balloon by 16million over the same period. No wonder nearly half of Britons say the Government plans to take too many Syrian refugees. Yet still Mr Juncker hectors us to throw open our doors to more. This is despite the fact that we contribute far more than any other EU country to the humane and pragmatic policy of looking after refugees in countries bordering their homeland. Why, voters may ask, should a nation like ours be preached at and dictated to by the former prime minister of the tiny, corrupt Grand Duchy of Luxembourg? First the farce of the single currency. Now the tragedy of the refugee crisis. Who can blame the Brexit campaigners if they're starting to believe that events are conspiring to support them? Backing for the brave THROWING powerful weight behind the Mail's Betrayal of the Brave campaign, the Defence Select Committee condemns the wholly unacceptable' treatment of our troops' Afghan interpreters who have been abandoned to the Taliban. The cross-party MPs tell ministers that it's not only a matter of honour to offer asylum to these courageous men and their families. It is also vital to ensure our soldiers receive similar help in future. With some interpreters already killed, and the rest in daily danger, how much longer can Defence Minister Penny Mordaunt keep insisting that there is no major problem'? MP's weasel words AFTER himself blackening the reputation of Paula Radcliffe, Tory MP Jesse Norman blames the media for taking out of context' his remark that British winners of the London Marathon are potentially under suspicion of very high levels of blood doping'. The press pack', he says, are a herd of ungulates', meaning hoofed animals. Since Radcliffe is the only British winner of the London Marathon for nearly 20 years, what does this make Mr Norman? A weasel - or a skunk? © Daily Mail",Tabloid,1,2015-09,0,Policy
212,src_dailymail_raw.docx,Daily Mail,27/3/2015,195 words,BY NO BYLINE AVAILABLE,BRITAIN SEES A 40% SURGE IN ASYLUM CLAIMS,"THE number of refugees seeking a new life in the UK has risen by nearly 40 per cent in the last five years, a UN report reveals. Asylum applications shot up from 22,640 in 2010 to 31,260 last year - a rise of 38 per cent. In total Britain received 137,660 claims over the period - although not all succeeded. The refugee agency UNHCR released the figures as it announced that the number of people seeking asylum in developed countries has hit a 22-year peak. An estimated 866,000 lodged claims last year - a 45 per cent rise in a year - driven by the spiralling conflicts in Syria and Iraq and the highest point since the start of the war in Bosnia. Of the 44 developed nations, Germany last year received the most asylum applications at 173,000 - 30 per cent of the EU total. It was followed by the US (121,160), Turkey (87,820), Sweden (75,090) and Italy (63,360). Britain was eighth on the list. The country took in 2,400 Syrian refugees last year, with another 260 referred by the UNHCR. Refugees from Pakistan formed the largest group seeking refuge in the UK - a total of 3,884 - followed by those from war-torn African state of Eritrea (3,271) and Iran (2,450). © Daily Mail",Tabloid,1,2015-03,1,Migration
151,src_dailymail_raw.docx,Daily Mail,13/9/2015,1722 words,BY MICHAEL POWELL AND ZIA WEISE,AYLAN AND FATHER: THEIR REAL STORY,"The haunting image of little Aylan Kurdi's body lying face down in the sand of a Turkish tourist beach seared itself in the world's collective conscience and sparked an outpouring of sympathy for the refugees fleeing the bloodbath of war-torn Syria. The three-year-old's unwitting legacy in the ten days since his drowning in the Aegean has been an unprecedented mass movement of tens of thousands of migrants towards Europe and joyful scenes of them being warmly welcomed to the promised land'. But as the emotion subsides, questions have begun to emerge not only about the status of many of the new arrivals in Europe but of the Kurdi family themselves. Are these refugees with a well-founded fear of persecution, unable or fearful of returning to their homeland, or simply economic migrants in search of a better life? Some reports yesterday went further - accusing Aylan's 40-year-old father Abdullah of being one of the people traffickers, a claim he has vehemently denied. The Mail on Sunday has retraced the steps of the Kurdi family from their origins in Syria to their tragic attempted journey to the Greek island of Kos in a 16ft boat, during which Aylan, his five-year-old brother Galip and his mother Rehan died. We have spoken to the people who met them along the way and built up a remarkable picture of their situation while living in Turkey. It is a moving story of hardship and deprivation and of course there is no happy conclusion. But once the family settled in Turkey nearly a year ago, could the Kurdis still truly be classed as refugees in the same plight as those sheltering in a dusty tented city? And more importantly, could Mr Kurdi's decision to risk all their lives in a hazardous sea crossing - something he once vowed never to do - ever be justified? The first immense upheaval for the Kurdi family came in 2011, when they were bombed out of their home in the Syrian capital, Damascus. After allegedly being tortured by the regime, Mr Kurdi fled 300 miles north-west with his wife and eldest son to their Kurdish home town of Kobane, where Aylan was born the following year. But life in the Euphrates valley town near the Turkish border was hard and, struggling to ply his trade as a barber, in the winter of 2012 Abdullah made the life-altering decision to travel alone to Istanbul, more than 800 miles away, where he started working in a sweatshop producing Islamic gowns. His job was to check the garments being produced by the dozen women using sewing machines to produce black robes in a humid haze for ten hours a day. Like many Syrian refugees in Turkey, Mr Kurdi was effectively stateless with neither passport nor birth certificate and so denied a work permit. That defined his life in near-Dickensian terms and left him working for a pittance on the black market, earning only £5.50 a day. Former colleagues said he told them he would never consider using people smugglers to reach Europe and beyond. We were talking about it and he said, “I will never risk my family's life doing that, it's too dangerous”,' said one, who declined to be named. He wanted to go to Canada because his sister lives there. He was always preparing himself in his head to go to Canada and always rejected the idea of going by sea. He wanted to get his papers legally.' The manager of the basement factory, a Turkish Kurd, said Mr Kurdi initially spent three nights living in a hostel with other Syrians which cost him double his daily pay. He was losing money so I said to him you can stay with me and some of the other workers. Some nights he spent sleeping on the floor of the factory in his work clothes. He would sleep in the kitchen and toilet area and sometimes in the corner in the office here.' After a few months, Mr Kurdi returned to Kobane - a gruelling 20-hour bus journey - to bring his wife and children across the porous border to Istanbul and for three days they joined him sleeping on the floor of the factory's fetid toilet before securing a tiny flat by using the name of his boss on the tenancy agreement. BUT scraping together the £80 monthly rent while feeding his family was impossible on his meagre wages, and after four months, he reluctantly sent Rehan and the children back to Kobane. For a further 18 months, he toiled alone in Istanbul, leaving the rag trade in September 2013 to tout for work on construction sites, earning about £8 per day. He was always homeless and slept on a succession of sofas at friend's houses. Little by little, he was able to save a small amount of money. A former colleague at the factory said: He was really missing his family. He would be away from them for long stretches. He wanted to work hard but he also wanted to see his children. They were his world.' The family was reunited again in October last year in Kobane - just as the Syrian civil war erupted in the city, with Islamic State terrorists laying siege to the town in fierce battles with Kurdish militia. Mr Kurdi rescued his wife and children from the war zone and once again took them to Istanbul where, in November, he managed to use his savings to put down a £50 deposit to rent a small house in the district of Eyup. The Kurdis' fortunes finally began to change for the better. The prefab home - which The Mail on Sunday has found - was far from luxurious but for the first time in Aylan's short life he was permanently living with his father. The family slept in one room which had one double bed and two old tatty sofas. Although the home had a large 32in television, there was no shower or bath and the toilet was a hole in the ground. They cooked on a single-hob camping stove. Mr Kurdi's sister Fatima was paying the £100-a-month rent by sending money from Canada and Turkish neighbours of the family say they appeared to be happy and comfortable' in their new home. Most days the boys would wake up their father, begging him to play with them on their tricycle and other sit-on toys that he'd saved up to buy. Neighbours say they would run up to him shouting Daddy' and grab his legs when he returned home shattered from a long day's labour. At weekends, Mr Kurdi would join Istanbul's tourists and take his boys on the ferry across the majestic Bosphorus strait to the Asian side of Istanbul for a treat. All the while, he was saving for the dream move to Canada. They were having a good life here in Turkey, I don't know why they left,' their landlady Mushreff Terregy, 66, said. It is a question which has haunted all who knew the Kurdis. One significant factor may well have been the difficulties which would have lain ahead for Aylan and his brother in getting access to education or health care in Turkey, where their prospects as both Syrian refugees and Kurds were doubly blighted. And with no job security, it's not difficult to see why Mr Kurdi would seek to emigrate. Sitting on a stall in the front garden in the same spot where Abdullah was pictured proudly holding both his son's hands in July, Ms Terregy added: They were good tenants and a very loving family. She was a wonderful woman and did a very good job looking after the boys. I loved them so much. They were very good people. If I knew they were leaving to get a boat to Greece, I would never have let them go. It is too dangerous. When they moved out on August 6, they said they were going back to Kobane to tend to olive trees they own there. I had no idea they were going to Bodrum.' Zafer Bektars, a Turkish neighbour who said he helped fix the Kurdi family's television earlier this year, said: I am angry and sad. Angry with him because of what he did and the risk he took and sad because those children were very little. They did not have to leave.' But Mr Kurdi, speaking from Kobane, where he returned to bury his family said: The house was in a worse situation than my previous house back home. It wasn't good enough to live in but I had no other option. I couldn't handle working in Turkey because it was too hard to get by. I love Turkey as a system and Istanbul as a city, but I couldn't afford it. If I wanted to take my children on the ferry trip, which they loved, I was worrying about the money that I'd spend.' What made budgeting even harder was that Mr Kurdi had to spent around £1.50 each day buying special ointment to treat his children's eczema, he said. Mr Kurdi claimed he decided to take the dramatic step of using people smugglers after an application to migrate to Canada was rejected in June. My main concern every day was to provide our daily food by finding work, that if I could find a job then we could eat. My sister helped me and wanted to take me and my brother Mohammad and his family to Canada. But the Canadian government rejected our request. So we decided to take the sea way. We were living on a beautiful hope. All my life was devoted for these little children and wife and now it's gone. It's over.' A spokesman for the Canadian government denied ever receiving an application for residency from Abdullah Kurdi. Mr Kurdi last night denied claims he was a people smuggler and was driving the boat which capsized off the coast of Bodrum. Iraqi mother Zainab Abbas, 32, whose own two children also drowned, said Mr Kurdi was taking a cut of the money her family had paid for the perilous crossing. He said: I don't know why she is saying this. Why would a people smuggler take his family on the same boat? Why would I be living in such a poor house in Istanbul if I was earning lots of money as a smuggler?' Four men have been charged in connection with the deaths but Mr Kurdi has not faced any police action. As the exodus from Syria goes on, the Kurdis have been swiftly replaced as tenants by another couple from the country who fled Aleppo with their seven-year-old son. Aylan and Galip's toys remain eerily on display in the house. The mother, who asked not to be named, said: When we came here Aylan's tricycle and his happy birthday decoration was still here. We hadn't got round to moving them and now we are not going to remove them in memory of them.' Abdullah Kurdi poses for a snap during a trip out with his family to enjoy the tourist sights of Istanbul The little house with its garden that the Kurdi family rented in Istanbul. Mr Kurdi's sister in Canada paid the £100-a-month bill for them Inside the clothing factory where Mr Kurdi earned £5.50 a day for a ten-hour shift checking robes © Mail On Sunday",Tabloid,1,2015-09,1,Conditions
220,src_dailymail_raw.docx,Daily Mail,29/7/2017,1757 words,NA,OVERWHELMED. ABANDONED,"THE EU. IS ITALY ABOUT TO TRIGGER THE MIGRANT NUCLEAR OPTION? BY SUE REID ON THE ITALIAN /AUSTRIAN BORDER On a farm track outside the huge migrants' camp hidden away among cornfields near Venice, a young Nigerian is telling me of his hopes for a new life. With pink varnish on his nails and a paisley bandana on his head, he does a Michael Jackson-style shimmy under the searing July sun. Osarume Ehiz, 16, has lived in the camp with 1,000 other male migrants, many of them fellow Nigerians, for 11 months. I'm a dancer,' he says, eyes sparkling and his feet moving fast in his white plastic sandals. But I can't make a career in Italy. I'm waiting for a special visa, so I can go anywhere in Europe. I hope the paperwork will come soon.' The special visa' he refers to is at the centre of a furious row that is dividing EU governments and escalating border tensions as the continent struggles to cope with the biggest migration crisis since World War II. Earlier this month, Italy, which because of its geographical position is bearing the brunt of a huge influx of migrants from Africa, threatened to disperse them by providing EU temporary visas to up to 200,000. The move would let thousands of migrants many of whom have made the treacherous and illegal journey by sea on flimsy boats from Libya spread across the rest of Europe. It follows growing anger in Italy that other EU nations have reneged on promises to help with the migrant crisis engulfing the country. Up to 95,000 people have arrived on Italian shores so far this year. Last weekend alone, several thousand were rescued and brought into port by naval vessels and charity boats. Italian PM Paolo Gentiloni's contentious plan would allow visa holders to travel freely into Austria and beyond. Austria has retaliated by threatening to close its key Alpine border with Italy, at the Brenner Pass, and enforce it with tanks and troops. Its foreign minister, Sebastian Kurz, has said that being saved in the Mediterranean cannot be connected with a ticket to Central Europe'. To say emotions are running high between the two countries is an understatement, but the stand-off reflects hardening public opinion across the EU about levels of migration and the pathetic response from politicians to what is, arguably, the greatest issue of our times. Under the EU's migrant quota scheme, all member countries are meant to accept a mandatory share of migrants whose landing point is Italy. But the growing realisation, as confirmed by the UN, that most of the current influx of migrants are no longer Syrian refugees fleeing civil war or Islamic State horror, but economic desperados from countries including Bangladesh, Guinea as well as Nigeria, is having an impact. Even the European Commission vice-president, Frans Timmermans, recently admitted that most migrants are not escaping persecution but simply searching for a better life. Poland and Hungary are jibbing at taking in migrants (citing cultural difficulties in view of the fact that many are Muslim and both countries have strong Christian traditions), while the Czech Republic is dragging its feet, too. So in this febrile atmosphere, Italy's border with Austria has become a potential flashpoint. And, as I witnessed this week, few migrants seem to be in need of special visas as they cross with apparent ease from one country desperate to be rid of them to another which is no more welcoming. Italy is the major recipient of migrants and refugees on the Central Mediterranean Route from Libya. It now takes in far more than Greece, where the numbers arriving have fallen thanks to a deal negotiated with Turkey last year at a cost of several billion euros to the EU. (Turkey agreed to take back those migrants who had travelled from the Middle East and elsewhere, via Turkey, and then across the Aegean Sea to Greece, but who did not qualify for asylum in the EU.) Increasingly, migrant holding camps, which have been set up all over Italy, are close to overflowing. The young Nigerian I met this week, Osarume Ehiz, who gets 75 a month from the Italian government if he stays in the camp, says conditions are dreadful. I live in a room with ten others in bunk beds,' he complains. There are mosquitos, the food is uneatable and we get no education. Italy is a bad country. The clothes they give us are unusable, so I buy mine from the market stalls.' Every day, like other migrants at his camp, a former military base in Bagnoli di Sopri, he uses a charity bike to cycle around the countryside, simply for something to do. The Italians in the villages don't say “hello” to us. They are not rude, but avoid our eyes. I think it is because we are black,' he adds. Four miles away at another camp housing 2,000 migrants in the village of Conetta, it is much the same story. There, the 190 locals feel overwhelmed. Some have got fed up and, at one stage, put up protest messages scrawled on sheets in the village square. One said simply: Repatriate the migrants.' The local mayor Albero Panfilio said it was wrong to squash human beings together with no hope for the future. I call the camp a human warehouse. The migrants arrive, the authorities don't know where to put them, so they dump them here. They are treated like garbage.' Certainly, the Italian public is losing patience. In an appalling but telling scenario in January, a migrant drowned in the Grand Canal in Venice as passers-by watched but did little to help. There were even ugly shouts of Go home' and Let him die'. Patel Sabelly, a Gambian in his 20s, had jumped to his death from a bridge after reaching Italy by boat from Libya and being refused asylum. Although the Mayor of Venice, Luigi Brugnaro, in a gesture of respect, paid for the man's funeral out of his own pocket, his statement at the time was in tune with public attitudes and officials' frustration. We can't continue to nurture the hopes of half the world of coming to Italy,' he said. It is impossible for our country to continue managing such a large-scale phenomenon in the way it has done so far.' Meanwhile, Austria is still reeling from the impact of the 2015 migrant influx when Angela Merkel controversially opened Germany's borders to hundreds of thousands of migrants. Of the million or so heading for Germany, 90,000 decided to stay in Austria as they passed through. In this fiercely nationalistic nation, politicians and the people were soon saying enough is enough'. The burka has been banned by Austria, compulsory German lessons introduced for migrants, and after a spate of attacks across the EU on women in public places, signs have gone up in Arabic at a market town near Vienna, telling male migrants not to touch female bathers or follow them into swimming pool changing rooms. This week, I observed migrants on their way from those camps in Bagnoli di Sopri and Conetta, near Venice, up to the town of Brenner marking the border with Austria. I followed them to Innsbruck, a major city and popular ski resort which hosted the 1976 Winter Olympics. It was clear this is a well-used route for migrants, many of whom refuse to stay in the Italian camps more than 24 hours, walking out after a meal and a shower. They are anxious to avoid being fingerprinted and escape being tangled up in the Italian asylum system, preferring to take their chances in northern Europe. Their journey often begins in the pretty Italian town of Bolzano, about 50 miles south of Brenner, where trains go to Innsbruck. Outside the railway station, I met Musa, 23, from Guinea, who arrived by boat from Libya seven months ago. I am sad and tired,' he tells me. Europe is not what I hoped for. I sleep on the streets and now I am going to Austria.' No Italian official intervened as he bought a ticket for Innsbruck and boarded a train. When trains arrive at Brenner, there appear to be no onboard checks. Indeed, on Wednesday and Thursday this week, the only visible security at the border was an Italian army truck. Its three occupants occasionally got out to stretch their legs and at one stage could be seen pointing the way to migrants who preferred to simply walk into Austria. Other migrants sat on benches outside the station, waiting for trains, eating hot dogs and sending messages on their phones. One, a 23-year-old from the Ivory Coast, told me he expected to be in Innsbruck by nightfall. It is easy,' he said laughing. No one likes to stay in Italy when there are opportunities further north in Austria, Sweden, Germany and Britain.' Inside Brenner station, another trio of Italian soldiers walked along the platform as an Innsbruck-bound train rolled in. Migrants boarded under their noses and were soon leaving Italy. At Innsbruck's main station, I saw migrants newly arrived from Italy being greeted by a Somalian called Hussein, 30, who has lived in Austria for five years. They come in all the time, every day and at all times of the day,' he told me. I take them to the mosque across the road. They often need clothes, food and help. The Italians turn a blind eye. They see the migrants on the platform back at the Brenner Pass and say “go now” when the train for Austria comes. It's not only the trains, there are cars and trucks, too. If a migrant has money to give a trafficker, then it is easy as there are no regular road checks into Austria either.' If the Italian government's threat of special visas becomes a reality, then this constant stream of migrants towards the Austrian border may well become a deluge. Adding to the sense of crisis, this week the European Court of Justice endorsed an important EU law that requires migrants to seek asylum in the first EU country they reach, overruling arguments that it is not equipped to deal with the huge numbers of migrants arriving in Italy. So might this be the tipping point for the Italian government? Only time will tell, but Mattia Toaldo, senior analyst at the European Council on Foreign Relations, fears the worst. He recently warned that Italy's threat to assist the onward journey of migrants with temporary EU visas was a nuclear option'. Italians had lost all hope of getting help from the EU,' he said, and might yet tell Brussels: If you won't make migration a common challenge [for all the member nations], then we will.' This week, looking at dispirited, overstretched Italy struggling to cope, it's difficult not to have sympathy if that is the incendiary path this nation chooses to take with awesome consequences for its neighbours and beyond. Rescued: Migrants disembark from an Italian Coast Guard ship at the harbour of Augusta, Sicily © Daily Mail",Tabloid,1,2017-07,0,Conditions
