ID,Source_File,Newspaper,Date,Length,Author,Headline,Newspapertype,Trimmed_Article,relevance
2,src_dailymail_raw.docx,Daily Mail,23/9/2015,284 words,BY IAN DRURY HOME AFFAIRS CORRESPONDENT,"FIRST OF 20,000 SYRIAN REFUGEES ARRIVE IN UK",Tabloid,"THE first of 20,000 Syrian refugees to be taken in by the UK have arrived in the country The Government said the vulnerable migrants have already been resettled Their arrival marks the first step to fulfilling David Cameron's promise to give sanctuary to desperate people forced from their homeland by the civil war between President Assad and Islamic State Ministers have not provided details of the exact number who landed in the UK or where they have been sent but the first wave of people is understood to be fewer than 100 The Syrians who had fled from the war-torn country to poverty-stricken camps in neighbouring countries will receive housing access to medical care and education and permission to work Those being resettled have been selected by the United Nations on the basis of need Mr Cameron has said the UK would give shelter to the most needy including children the elderly and disabled women who had been raped and men who had been tortured The UK will resettle the 20,000 refugees by 2020 by expanding the Syrian Vulnerable Persons Resettlement scheme Until this month the scheme had taken in 216 Syrians on top of about 5,000 who had been granted asylum Under the programme the refugees will be granted five years humanitarian protection in Britain After that they can apply to settle permanently in the UK Ministers had been under pressure to act as Europe struggled to deal with a huge influx of refugees many fleeing war and poverty in Asia Africa and the Middle East Hundreds of people volunteered to put up refugees in spare rooms but the Government declined saying the offer while heart-warming was a short-term solution to a long-term problem © Daily Mail",1
3,src_dailymail_raw.docx,Daily Mail,27/9/2015,499 words,BY JABER MOHAMED,SNP CHIEF STURGEON BACKTRACKS ON HER VOW TO GIVE A HOME TO SYRIAN REFUGEES,Tabloid,"NICOLA Sturgeon was accused of backtracking last night after it was revealed she had no plans' to let Syrian refugees live in her home despite promising to do so during a television interview. The Scottish First Minister made national headlines after she claimed she would be absolutely happy' to open her home to people fleeing war and violence in the Middle East. But as the first of the 20,000 Syrian refugees due to come to Britain by 2020 arrived on Tuesday, Ms Sturgeon said she would not be offering them the chance to stay at her home. Her spokesman said: She said she would be willing to do it if that's what it took, but she did not say that there were any plans for that to happen. So if you're phoning to find out if there's an update, then there is no update.' Asked in an interview on Sky News on September 6 if she would house Syrian refugees in her own home, Ms Sturgeon replied: Yes, I would. And I've actually been overwhelmed myself over the past few days with messages from people across Scotland saying that they personally would be happy to give a home temporarily - or for a longer period of time - to somebody fleeing Syria.' She added: So, yes, I would absolutely be happy to do that as part of a bigger, wider, more organised approach.' Ms Sturgeon currently lives at her official residence, Bute House in Edinburgh, but also shares a £228,000 Glasgow home with her husband. Thousands of people have offered to house refugees in their homes in recent weeks, among them Live Aid founder Bob Geldof, politician Yvette Cooper and actress Emma Thompson. Last week the Government said that refugees coming to the UK from Syria would not in fact be housed in spare rooms as it is a short-term solution to a long-term problem'. Almost 600 landlords came forward to offer their properties to Syrian refugees as part of a campaign by the charity Citizens UK. Scottish Conservative MSP Murdo Fraser said: This just demonstrates the dangers of politicians making glib promises to get favourable headlines, when they have no intention of delivering. First Nicola said she'd welcome a refugee family to her home, obviously for political gain. Now she is quite clearly back-tracking. It is very insincere indeed, but this is what we've come to expect from the SNP. The public now see they're a party that will say anything for a headline, then when it doesn't suit them, they do the complete opposite.' A spokesman for Ms Sturgeon later added: The First Minister has already made clear that she would be willing to take in refugees, if necessary, like the many thousands of Scots who have already pledged their support. This remains the position.' Ministers have not provided details of the exact number of refugees who landed in the UK, but the first wave is understood to be fewer than 100. The Syrians, who have left their war-torn country and are now staying in camps in neighbouring countries, will receive housing, access to medical care and education, and permission to work. © Mail On Sunday",1
10,src_dailymail_raw.docx,Daily Mail,9/9/2015,592 words,BY JACK DOYLE POLITICAL CORRESPONDENT,NEARLY HALF OF BRITONS THINK WE'RE TAKING TOO MANY SYRIAN REFUGEES,Tabloid,"NEARLY half of Britons think the government is planning to take too many refugees from Syria a poll has revealed Data published last night exposed the huge gap between the public and opposition parties in Westminster who have accused David Cameron of not doing enough Yesterday senior Labour figures demanded that Britain take even more refugees than the number planned by ministers but a YouGov survey showed voters are hostile to the idea Mr Cameron said on Monday that 20,000 would come to the UK over the next five years under a UN scheme targeting the most vulnerable They will be taken from refugee camps in countries neighbouring Syria to which Britain has donated hundreds of millions of pounds in aid But the poll revealed that 45 per cent of adults questioned said the figure was too high while one in four a total of 27 per cent said they backed Mr Cameron's decision Just 15 per cent said they opposed the announcement on the grounds that it did not go far enough Hostility to additional refugees was even high among people who identified as Labour supporters Nearly four in ten 38 per cent said they wanted fewer than 20,000 This is despite senior Labour figures queuing up this week to demand Britain do more and posing in pictures on Twitter with signs saying refugees welcome Yesterday Labour's shadow home secretary Yvette Cooper repeated the demand in the House of Commons in an emergency debate on the refugee crisis She said Britain should also accept people who have already made it into Europe Miss Cooper told the House of Commons The Prime Minister said yesterday that he would help up to 20,000 refugees over the five-year parliament But the crisis is now and helping 4,000 refugees this year isn't enough",1
38,src_dailymail_raw.docx,Daily Mail,4/9/2016,169 words,BY NO BYLINE AVAILABLE,UK HOMES FOUND FOR 20K SYRIAN REFUGEES,Tabloid,"Home Secretary Amber Rudd announced last night that British homes have been found for the 20,000 Syrian refugees David Cameron promised to resettle a year ago Ms Rudd said that the commitment made after pictures were flashed around the world of three-year-old Alan Kurdi drowned on a Turkish beach has been met after receiving housing pledges from a total of 118 local authorities under the Vulnerable Person Resettlement Scheme The Home Office also announced a new £ 10 million funding package to boost English language tuition for the refugees The latest figures show that 2,800 Syrians have so far arrived in the UK and are being housed in more than 100 local authority areas Ms Rudd said last night Securing the 20,000 pledge within 12 months is testament to the immense goodwill and generosity of the British people and the effort and determination of local authorities across the UK We are on track and delivering our commitment to help the most vulnerable Syrians displaced by the conflict © Mail On Sunday",1
55,src_dailymail_raw.docx,Daily Mail,19/6/2016,380 words,BY SIMON WALTERS,VOTE REMAIN STORMS TO SHOCK 3-POINT LEAD IN LAST-MINUTE SURGE,Tabloid,"THE Remain camp has surged into a three-point lead in the EU referendum campaign in the aftermath of the death of Jo Cox. A Mail on Sunday poll by Survation shows David Cameron s Remain campaign on 45 per cent support, with Boris Johnson s Leave on 42. It reflects a dramatic six-point turnaround since a similar Survation poll on Thursday, hours before the Labour MP was killed. The new telephone poll was conducted on Friday and Saturday as the nation mourned Mrs Cox. In addition to her prominent campaign for Syrian refugees, Mrs Cox was a leading Remain supporter. The six-point switch confirms claims by some commentators that voters could take a more risk-averse approach to leaving the EU so soon after Mrs Cox s shocking death. Survation s Thursday poll showed Leave on 45 and Remain on 42, the exact reverse of today s figures. The number of undecided - 13 per cent - has stayed the same. If undecided voters are excluded, the poll produces a 52-48 per cent majority in favour of staying in the EU. And the gap could get bigger: 46 per cent say Remain are likely to benefit from any additional late surge, with 33 per cent forecasting a late swing to Leave. A win for Remain is forecast by 40 per cent, with 26 per cent predicting victory for Leave. Mr Cameron tops the table for best campaign with 17 per cent, ahead of Boris Johnson on 15, Nigel Farage ten, Michael Gove nine and George Osborne two. However, voters disapproved of Mr Farage s controversial Breaking Point migrant queue poster - 43 per cent said it was inflammatory while 28 per cent said it was fair. Nearly a third (31 per cent) said Mr Cameron s Remain side had conducted the most responsible campaign, with 27 per cent favouring Leave, while an overwhelming seven out of ten said MPs must tone down their verbal attacks on each other. Britain s top pollster, Professor John Curtice of Strathclyde University, said: After a week in which many polls suggested Leave had leapt into the lead, today s poll will come as a relief to the Remain camp. Mr Cameron will hope the tide has begun to turn. However, he added that it was far from clear if the turnaround was the result of criticism of the Leave campaign following Mrs Cox s death. l Survation interviewed 1,001 adults by telephone on Friday and Saturday.",0
58,src_dailymail_raw.docx,Daily Mail,18/5/2017,452 words,BY JACK DOYLE,"50,000 MORE REFUGEES AND REDUCING TRIDENT... FARRON'S MANIFESTO PLEDGES",Tabloid,"BREXIT ÷ Second referendum on the final deal ÷ Staying in the best option Tim Farron would order a second referendum on whether to accept the final deal or stay in and so encourage the EU to offer little or nothing Polls suggest a dwindling number of voters want to reverse the result and while this message may work in some London seats it won't in the Leave-voting West Country SPEND AND BORROW ÷ £ 6billion a year more for the NHS and social care as well as £ 7billion for Education ÷ £ 100billion infrastructure borrowing Even by their own optimistic sums the Lib Dems are £ 15billion short of covering their spending splurge with new taxes Policies include extending free school meals to all Primary school children free childcare for children aged from nine months to two years old plus hiking benefits and public sector pay DRUGS AND CRIME ÷ Legalise cannabis and brothels ÷ Abolish short prison sentences Continuing their tradition of going soft on drugs and crime the Lib Dems would legalise cannabis and hope to raise £ 1billion by taxing sales Mind-bending synthetic drugs like Spice would be decriminalised Possession of hard drugs such as heroin would be punished with spot fines not prison Prostitution would be decriminalised The presumption against short prison sentences of around a year would mean 50,000 more criminals on the streets TAX ÷ 1p increase in income tax ÷ Higher Corporation inheritance and capital gains tax ÷ Abolish married tax allowance A watered down version of Labour's tax assault raising a claimed £ 15billion IMMIGRATION ÷ Keep free movement ÷ 50,000 more refugees Keeping unfettered free movement even if Britain leaves the EU is the central plank of the most pro-migration manifesto of all the parties Abandoning it would threaten",0
60,src_dailymail_raw.docx,Daily Mail,21/3/2016,434 words,BY TOM KELLY IN LESBOS,"JUST HOURS AFTER DEAL TO HALT INFLUX, BOATLOADS OF MIGRANTS REACH GREECE",Tabloid,"MORE than 800 migrants smuggled themselves on to a Greek island yesterday - just hours after an EU deal aimed at halting the influx from Turkey. Two men, including a father of four, were trampled to death as passengers stampeded to get off an overcrowded boat landing in Lesbos at dawn. Their arrival came shortly after an agreement meaning migrants illegally reaching the Greek isles should be sent back to Turkey. Many admitted being aware of the new deal but were prepared to risk entering Europe. The mayor of Lesbos, Spiros Galinos, said he was not warned over the policy change, telling the Mail: I have been suggesting this for a long time, but they suddenly announced without telling us. We had no chance to get anything ready. Today the numbers arriving have been about the same so it has not had an immediate impact. Only time will tell if this changes. I can currently take 7,000 migrants, but with EU help I could take 20,000.' He insisted British holidaymakers should not be put off visiting the island. Greece's migrant spokesman Giorgos Kyritsis admitted: A plan like this cannot be put in place in only 24 hours.' Shortly before Saturday's midnight deal deadline passed, two girls aged one and two were found drowned off the island of Ro during an attempted crossing to Greece from Turkey. Among the Lesbos arrivals were Syrian student Hussein Ali Muhammad, who said: I hope to cross these borders. I don't want money, I just want to complete my studies.' Under the agreement all illegal migrants and refugees crossing to Greece from Turkey after yesterday should be deported once they are registered and their asylum claims processed. In return, the EU will take thousands of Syrian refugees directly from Turkey, rewarding it with more cash, early visa-free travel and progress in its EU membership negotiations. Greek officials yesterday scrambled to evacuate migrants currently in island camps to those on the mainland. Terrified children were thrown to the floor when more than 1,000 migrants in Lesbos boarded a ship for Kavala in Northern Greece. Turkey is thought to have demanded that all existing migrants held on the island before Saturday's deadline were moved so they were not returned with new arrivals. At least 144,000 people have arrived in Greece so far in 2016 according to UN refugee agency data. More than half landed on Lesbos and some 1,150 people a day continued to arrive in Greece from Turkey this month. ÷Kosovan premier Isa Mustafa yesterday confirmed that his brother Ragip had sought asylum in Germany's southwestern Rheinland-Pfalz state for medical reasons. © Daily Mail",1
72,src_dailymail_raw.docx,Daily Mail,5/2/2016,491 words,BY DANIEL MARTIN CHIEF POLITICAL CORRESPONDENT,PM HAILS £7BN AID BOOST FOR SYRIA… £1.2BN OF IT FROM UK,Tabloid,"DAVID Cameron last night hailed a £7billion boost to tackle the Syrian crisis - amid warnings that tens of thousands more refugees are heading to Turkey. International leaders pledged the huge sum - apparently the largest ever pledged in one day for a humanitarian crisis - during a meeting in London. The Prime Minister said the aid, including an extra £1.2billion from Britain by 2020, would save lives and give hope'. Britain's pledge compares with an extra £1.8billion from Germany by 2018 but is much more than the £700million put forward by France and £600million from the United States. The European Union has pledged £2.3billion. Australia, Belgium, Italy, Poland, Japan, the United Arab Emirates, Austria, Switzerland, Estonia, Denmark and Finland also committed funds. It came as the Turkish prime minister said an estimated 70,000 Syrians fleeing bombing were moving towards his country. Ahmet Davutoglu blamed Russian raids for making the crisis worse by bolstering the murderous regime of President Assad and cutting off a crucial aid corridor. Last night, Russia accused Turkey of actively preparing to invade Syria. Mr Cameron said rich nations had now promised £4.1billion to be spent this year, and a further £3.4billion by 2020. Britain has more than doubled its funding to £2.3billion over the next four years. Countries neighbouring Syria have also agreed to educate refugee children to ensure there is no lost generation', he added. United Nations Secretary General Ban Ki-moon declared: Never has the international community raised so much money on a single day for a single crisis.' Downing Street said much of the money will be spent on building schools and creating jobs to make it more attractive for refugees fleeing Syria to stay in the region rather than attempting to reach Europe. Mr Cameron said that the conference had sent out a clear message to the people of Syria and the region. We will stand with you and we will support you for as long as it takes to secure peace in Syria, to restore stability to the region and to give Syrian refugees a chance to go back and rebuild their homes and their country,' he said. He urged Russia to use its influence with the Syrian regime to bring an end to violence against civilians and help foster a ceasefire. The Prime Minister said one million children currently not in school would be given access to education by the end of the next school year. He said: This is not just morally right. It is vital for long-term stability. We cannot have a generation of refugees left out of school, unable to get work, vulnerable to extremism and radicalisation.' Countries in the region have agreed to open up their economies to create new jobs and the move will be backed by £27billion of loans from international financial institutions and access to European markets. As a result there will be over one million new jobs in the region for refugees and residents alike,' Mr Cameron said. © Daily Mail",1
75,src_dailymail_raw.docx,Daily Mail,20/11/2015,1067 words,BY EMINE SINMAZ AND LARISA BROWN,COURAGE OF WAITRESS WHO RISKED HER LIFE TO COMFORT DYING VICTIMS AT PIZZERIA MASSACRE,Tabloid,THE waitress who became one of the heroes of the Paris massacre told last night how she would have rather have paid with her own life than leave bleeding victims of the terror attack to die alone on the street Jasmine El Youssi 20 risked her safety to comfort an injured woman as an Islamic State gunman fired 30 bullets into the restaurant where she was working She later cradled the dying after bravely going outside to try to help those cut down in the shootings I would have preferred I die than let them die she said I know how it feels to be alone and I just couldn't live with myself knowing that I hadn't tried to help them I didn't want the people who had been shot to think they had been abandoned In exclusive footage obtained by the Daily Mail that has been viewed by millions around the world Miss Youssi can be seen hiding under the bar and wrapping her arms around the bleeding victim while the gunman only yards away hunts more victims Last night the barmaid told how she comforted the woman who had been shot in the wrist as bullets rang around them As the footage begins Miss Youssi and her colleague Samir a barman can be seen clutching each other and ducking behind their counter moments after 26-year-old Belgian-born Salah Abdeslam begins firing He is still on the run The waitress is then seen pushing her colleague's head further under cover but he quickly wriggles away and flees down the stairs to the cellar kitchen Seconds later an injured woman bursts through the pizzeria door and throws herself behind the bar where Miss Youssi immediately begins comforting her and cradling her head The Parisian-born waitress whose parents hail from Morocco and,0
77,src_dailymail_raw.docx,Daily Mail,20/6/2017,539 words,"BY SAM GREENHILL, INDERDEEP BAINS AND ARTHUR MARTIN",THEY SNUFFED OUT FRIDGE ... THEN CLADDING SPREAD BLAZE,Tabloid,"FIREFIGHTERS thought they had extinguished the Grenfell Tower blaze and were packing up to leave when it suddenly flared up, it was revealed last night. They were astonished to spot flames shooting up the side of the building, adding weight to the theory that flammable cladding caused the disaster. Crews responded quickly to the fire in a fridge in Flat 16, and within minutes were telling residents it was out, BBC Panorama reported. But soon after, the 24-storey block was consumed in the inferno that killed an estimated 79 people. The revelation comes amid growing anger at the handling of the crisis, with claims some survivors are being ignored' and others rehoused far from London. Some 250 investigators led by a murder detective is probing those responsible for the inferno, with prosecutors advising on possible manslaughter charges. Metropolitan Police Commander Stuart Cundy pledged to ensure those responsible are brought to justice'. He said yesterday: On Saturday, I went to the top floor. I have seen some terrible things [in my service]. But I don't think anything prepared me for what I was going to see in there.' The police chief would not say if there will be raids to preserve evidence after MP David Lammy called for searches of offices and homes of the contractors involved in fitting flammable cladding on the tower. But he said the investigation will be far-reaching', including how the building was maintained, fire safety measures and an £8.6million refurbishment. The Mail found builders saved just £6,250 by fitting cladding with a plastic core that spreads fire. Last night Mrs May led a crisis meeting of the Grenfell Tower Taskforce. She said she would urgently look into reports that survivors had been poorly treated, with some given as little as £20 to live on. Survivor Christabel Castro, 26, who has been put in a local hotel, said some neighbours still had nowhere to stay including an older lady who lives on her own'. At least ten families have been placed 30 miles away in Ascot, Berkshire, and have to return by taxi to get donations. It was claimed some residents have been rehoused as far away as Birmingham, Manchester and Preston, which is 220 miles from London - but No 10 yesterday said these reports were false'. Families also complained donations have not been distributed to those in need. Yesterday it was reported up to 42 victims were found in just one room, although this could not be verified. However it emerged a missing family of five, thought to be Syrian refugees, has been found safe. It also emerged a nine-year-old boy, Amiel Miller, saved his entire family on the 17th floor after waking up and telling his parents: Mum, I think there's a fire.' London Fire Commissioner Dany Cotton yesterday said the controversial advice to stay put' during a fire will be kept for other blocks. She said this fire was unusual and that more injuries' would result in other fires in high-rise buildings if the advice was ignored. Meanwhile Downing Street pledged any illegal immigrants who had been in Grenfell Tower will not be deported if they come forward for help. The Lord Chief Justice is expected to appoint a judge to oversee the independent inquiry into the tragedy this week. © Daily Mail",0
