"ID","Source_File","Newspaper","Date","Length","Author","Headline","Article","Newspapertype","Rightwing","year_month","Solidarity","Category"
333,"urc_dailyexpress_raw.docx","Daily Express","14/3/2022","74 words",NA,"Cold shoulder for refugees but not Channel migrants; Letters","COULD someone explain to me how it is that Ukrainian refugees with very good reason to come here are having to jump through hoops to do so (""Priti relaxes UK visa rules for refugees"", March 11)? Every day we are told the number of economic migrants arriving on dinghies without the correct paperwork, if any at all.They are picked up, driven to hotels, given money, etc, while genuine cases are facing major hurdles. Christine Brough, Harborne, W Mids","Tabloid",1,"2022-03",1,"Migration"
353,"urc_dailyexpress_raw.docx","Daily Express","16/5/2022","145 words","Catherine Lough","Culture courses for UK hosts","FAMILIES hosting Ukrainian refugees are being offered lessons on its culture and language to help their guests feel at home. The Open University (OU) will launch the online course later this summer. Free online English lessons and mental health support for Ukrainians will also be available. The OU has waived fees for current Ukrainian students and is offering 12 sanctuary scholarships, worth £240,000, to prospective applicants. Vice-chancellor Tim Blackman said the university is ""appalled"" by the war and wants to support people ""in the best way we can, by providing free online learning, scholarships and financial assistance for Ukrainians as they seek refuge in the UK, as well as educational resources for hosts"". He added: ""We believe that accessible education is a powerful tool for improving people's lives and will continue to mobilise resources to show our support.""","Tabloid",1,"2022-05",1,"Aid"
363,"urc_dailyexpress_raw.docx","Daily Express","6/5/2022","191 words","Frederick Forsyth","SLOW PROGRESS OF THE CIVIL SERVICE JOBSWORTHS MAKING BRITAIN UNFIT FOR PURPOSE","THERE may well be some who feel I am too harsh in my comments on the degeneration of our Civil Service from excellent to disastrous but daily revelations bear me out. We needed the jobsworths to get our loyal helpers out of Afghanistan as the Taliban swept back in and Biden scuttled. Half of them were left desperate at Kabul airport while their visas were being shuffled. Thank you, Foreign Office.We wanted to welcome Ukrainian refugees, mostly women and children, fleeing Putin's savagery. Many queued in Polish snow waiting for their paperwork to be finalised. Thank you Home Office. Government has admitted DVLA Swansea has simply disintegrated. Now the Passport Office has gone the same way. That comes under the Home Office and so Priti Patel.When she complains the performance of her own department is not good enough the perm sec, Matthew Rycroft whines ""You are being unkind to us."" It's quite OK by him if the head of the Passport Office stays sipping coffee at home. Now Michael Gove has weighed in for Priti Patel. Covid, the universal excuse for bone idleness, won't work any more. Never mind the public, even ministers have had enough.","Tabloid",1,"2022-05",1,"Conditions"
229,"urc_dailyexpress_raw.docx","Daily Express","28/11/2023","384 words","Michael Knowles","Gove blames lack of housing on arrivals but admits homes failings","MICHAEL Gove says mass migration has fuelled the housing crisis. The minister said Government must increase homes being built and cut the legal entry of people. This comes after net migration has hit new records. More than a million people came to Britain to live in the past year as the Government faces political pressure to reduce arrivals. Asked if the UK did not have the number of homes to match the demand from immigrants, the Housing Secretary told Times Radio: ""Migratory flows put more pressure on housing but we haven't built enough homes overall for generations. ""This Government is going to hit its target of a million new homes in this Parliament but we do need to go further. This year, I outlined a long-term plan for housing, which will allow us to build more homes, particularly making effective use of brownfield land."" With net migration of 745,000 last year, the Government would need to massively increase housebuilding and significantly reduce immigration to meet the challenge, he said. Mr Gove added: ""It's important when looking at the migration figures to recognise some of these figures are students, some are Ukrainian refugees, some are British nationals from Hong Kong. ""But we need to bring migration down. And we need to build more homes."" Meanwhile, an g using val com- ""acute and overlooked"" shortage of affordable housing poses a threat to the survival of communities in rural England, a countryside charity warned. y ng ryside ices, Locals are being driven out of the countryside by record house prices, low wages and a surge in second homes and short-term lets, the CPRE reveals in a report published today. Its chief erm n g Roger Mortlock said: ""Decades of inaction have led to an affordable housing crisis that is ripping the soul from our rural communities. The next government must set and deliver ambitious targets for new, affordable and social rented rural h ripp r ties. ment mu am a housing, curbing the boom of second homes and short-term lets."" It would take 89 years to clear the social housing waiting list under the current build rate, a CPRE report found. A Government spokesperson said: ""We are unlocking a new pipeline of rural housing by reforming our planning system and offering greater freedoms on farm buildings to support a new supply of affordable homes."" Graphic   Long-term plan...GoveR. Rural concern ...MortlockBuild issue...homes shortfall 'for generations'","Tabloid",1,"2023-11",0,"Policy"
345,"urc_dailyexpress_raw.docx","Daily Express","20/4/2022","116 words","Ann Widdecombe","Archbishop needs to do home work","AMID all the concern for Ukrainian refugees, let us not forget the Afghan interpreters. It is reported that some of those who fled Afghanistan and were brought here for their own safety are still in hotels after eight months. At the last count this applied to some 11,500 refugees whose lives are on hold while they wait for stable settlement. That is scandalous in human terms and vividly illustrates the problems of settling perfectly lawful and welcome immigrants in proper homes. Perhaps the Archbishop of Canterbury, above, who decries the Government's efforts to stem the flow of channel crossings and people trafficking as ""ungodly"" could tell us where all the illegal ones are going to be put?","Tabloid",1,"2022-04",1,"Conditions"
343,"urc_dailyexpress_raw.docx","Daily Express","5/4/2022","106 words",NA,"JUST 4,700 REFUGEES GIVEN A VISA","ONLY around one in 10 Ukrainian refugees hoping to be hosted by a British family has been granted a visa so far, figures show. Of 32,200 people who have applied to come to the UK under the Homes for Ukraine scheme, just 4,700 have one. Downing Street said a further 32,800 have applied to join family under another system and 24,400 were given permission. But No10 was unable to say how many refugees have so far arrived in the country. The Prime Minister's spokesman said the Government was ""working to streamline the process"". Welsh Secretary Simon Hart denied the Home Office had become complacent amid growing ""frustration"". COMMENT: PAGE 12","Tabloid",1,"2022-04",1,"Policy"
108,"urc_dailymail_raw.docx","Daily Mail","13/3/2022","556 words","Glen Owen","'Ultimate payback for Putin's cronies'; But Cabinet splits over Gove plan to house refugees in oligarch mansions","WHEN Michael Gove launched into some of his typically rousing rhetoric at Cabinet last month, calling passionately for the mansions of Russian oligarchs to be seized and opened up to Ukrainian refugees, Boris Johnson murmured his assent. But a fortnight later, the Levelling Up Secretary is still fighting to overcome resistance to his idea from the Treasury and Foreign Office, where officials shiver at what one source dismissed as 'banana republic politics'. For their part, supporters of Mr Gove's plan describe the opponents as 'oligarch apologists'. The debate flared up again last week at the first meeting of a Cabinet sub-committee on Ukraine, chaired by Downing Street's chief of staff Steve Barclay, which has been tasked with examining 'every facet' of the UK's refugee response. When Mr Gove highlighted the powerful symbolism of his proposed move, Foreign Office Minister James Cleverly and Treasury Minister John Glen voiced their departments' reservations. Under Mr Gove's plan, British property owned by oligarchs sanctioned because of the war would be taken over by the Government for as long as they remained on the list, allowing Ministers to throw open their doors to refugees. In the case of Roman Abramovich, Britain's most high-profile oligarch, that would release at least 70 properties, worth around £500million, The portfolio includes a 15-bedroom mansion at Kensington Palace Gardens with an estimated value of £150 million, and a three-storey penthouse in the Chelsea Waterfront tower, bought for £30million in 2018. Abramovich had his assets - including Chelsea FC - frozen on Thursday as part of Government sanctions. Another sanctioned oligarch, aluminium tycoon Oleg Deripaska, worth £2 billion, owns a £50million property on Belgrave Square in Central London, via a company registered in the British Virgin Islands, and Hamstone House on the exclusive St George's Hill estate near Weybridge, Surrey. The eight-bedroom mansion includes a swimming pool, sauna, gym and extensive gardens. Mr Gove's plan echoes moves by the US Congress to seize assets from oligarchs whose wealth is linked to Vladimir Putin. Under a bill introduced earlier this month, American authorities would be allowed to go further than Mr Gove's plan by confiscating, rather than just seizing, any property - including luxury villas, yachts, and airplanes - valued more than $5million with the funds used to benefit the Ukrainian people via military or humanitarian aid. Supporters of Mr Gove's plan also point the finger at No10's new head of policy, Andrew Griffith, for trying to block it. Mr Griffith, the Arundel MP, is a former Rothschild banker and chief financial officer for Sky TV, who is understood to have argued that the idea is not 'legally workable'. An opponent of the Gove plan said: 'This is gesture politics more suited to a banana republic'. But a supporter said: 'The opposition is being led by oligarch apologists who hide behind the rule of law. These people have been sanctioned for a reason, and no one who has been placed on the sanctions list has ever come off it. This is the ultimate symbolic payback for Putin's cronies.' Downing Street declined to comment and a spokesman for Mr Gove said: 'We don't comment on private Cabinet discussions.' Moral justice - or 'gesture politics more suited to a banana republic'?","Tabloid",1,"2022-03",1,"Policy"
190,"urc_dailymail_raw.docx","Daily Mail","28/2/2022","129 words","BY CHRIS BROOKE","BRITISH FATHER FURIOUS AT UK REFUSAL TO GET HIS WIFE A VISA","An expat fleeing Ukraine with his two-week-old baby has slammed the British Government for its heartless refusal to fast-track a visa for his wife. Ken Stewart, 54, from Edinburgh, his Ukrainian wife Tanya, 36, and their two young children were battling to reach the sanctuary of Poland yesterday before heading to Britain. He posted photos on social media after 18 hours in [a] near-stationary queue' on the dangerous journey from their village, 40 miles from Kyiv. Mr Stewart said his wife would have to go through a convoluted visa application' to get into the UK despite both their children having UK citizenship. He said the Government was a heartless bunch' who showed zero compassion for my family or for any Ukrainian refugees'. My heart is broken,' he added. © Daily Mail","Tabloid",1,"2022-02",1,"Migration"
63,"urc_dailymail_raw.docx","Daily Mail","23/5/2022","311 words","Chris Brooke","Now your Ukraine stamps help cancer battle","GENEROUS readers who sent cheques to help Ukrainian refugees can be proud of helping another worthy cause as well. Envelopes enclosing around 70,000 cheques which were sent to the Mail Force appeal are being donated to the Bone Cancer Research Trust (BCRT) so that the stamps can go towards raising funds for its lifesaving research work. Dozens of bags full of envelopes have been delivered to the charity's headquarters in Leeds and volunteers will cut out the stamps, which will be sorted and sold in bulk by weight. The trust receives up to £20 a kilogram by selling the stamps to amateur and professional collectors across the country. Collectors will often buy large bags of stamps to look for certain postmarks. Unusual stamps and ones with slight defects can also be snapped up by collectors to improve their private collections. Envelopes donated for previous Mail Force appeals to raise funds for computers for children and to buy personal protective equipment for frontline health workers were also passed on to the cancer charity. The Ukraine refugee appeal was kick-started with £500,000 from DMGT, the Mail's parent company, at the request of Lord and Lady Rothermere, and has raised more than £11.5million so far. Laura Riach, the cancer charity's head of fundraising and communications, said: 'We would like to thank the Daily Mail for donating their used stamps to the Bone Cancer Research Trust's Stamp Appeal. We will turn these stamps into vital funds for our life-saving work, which will truly make a difference to all those affected by primary bone cancer. Last year our Stamp Appeal raised an incredible £11,835.' About 560 people are diagnosed with primary bone cancer in the UK every year, with around 355 annual deaths. Since BCRT was formed in 2006, it has awarded over £5.3million for research into finding a cure and funded 106 research projects. Graphic   Grateful: Staff at the Bone Cancer Research Trust in Leeds","Tabloid",1,"2022-05",1,"Aid"
91,"urc_dailymail_raw.docx","Daily Mail","21/5/2022","395 words","Mail Foreign Service","Trapped by red tape, the 'Angel of Mostar' and her 167 refugees","AN AID worker known as the 'Angel of Mostar' says she is stuck in Poland with 167 vulnerable Ukrainian refugees because of redtape that is preventing them coming to the UK. Sally Becker, who helped rescue hundreds of people from war-torn Bosnia, has 'grave concerns' for the women and children after their paperwork was rejected by British officials. The 58-year-old said she set off on the mission to save orphaned youngsters and mothers with the full acknowledgement of the British Government last month. She said many of the refugees came from areas where there was fierce fighting. They had made a 22-hour train journey, collecting more children en route who escaped from places like Mariupol, before crossing into Poland. But when they were ready to travel to the UK, Mrs Becker says the Home Office asked for more evi- dence that the Ukrainian government had sanctioned the evacuation. As a result, their flight booked for yesterday had to be cancelled. She now says the group has just days to find a solution or will have 'nowhere to go', adding: 'I'm completely dependent on the British Government to help me bring these children to a safe haven in the UK. 'We've got grandmothers given custody of children because their parents have either been killed or had to fight. We have children who have been deprived of parents since birth. Many are extremely vulnerable and really need help.' Mrs Becker explained how she set off for Dnipro at the end of April. At that point, she claimed there was no problem obtaining permission to bring the children to the UK. She gathered 167 refugees and negotiated safe passage to the Polish border through the Ukrainian government. She said they 'arranged for three carriages to be attached to the train especially for the children'. Mrs Becker said plans are in place to allow the refugees to stay at two hotels on the Wirral, Merseyside, with a six-month stay funded by The Steve Morgan Foundation. It's understood Ukraine's deputy prime minister has written to minister for refugees Lord Harrington confirming they have been aware of her mission since April 22. A Home Office spokesman said last night: 'We can only give permission for an unaccompanied child to travel where we are certain they will have appropriate support and care once they are here. We are speaking to Sally Becker and the authorities in Ukraine to reach a solution.' Graphic   Plea: Sally with orphans in Poland","Tabloid",1,"2022-05",1,"Aid"
