ID,Source_File,Newspaper,Date,Length,Author,Headline,Article,Newspapertype,Rightwing,year_month,Solidarity,Category
349,urc_dailyexpress_raw.docx,Daily Express,8/3/2022,104 words,IAN BAKER,U'S FOR UKRAINE,"COLCHESTER will be donating their entire gate receipts from their live Sky clash with Forest Green to Ukrainian refugees. . t The U's will charge £10 a ticket for the League Two match on March 21 and hope to play in a special yellow and blue kit. The club hope to raise as much as £50,000 from the gesture. Chairman Robbie Cowling, below, has also asked those entitled to complimentary tickets to pay in the 'Game for Ukraine' fixture. UKRAINE H mfe b th He said: ""I'm sure many of you are feeling devastated by the events in the Ukraine. ""I have wondered what can be done to help those that have been forced out of their homes."" ca",Tabloid,1,2022-03,1,Aid
333,urc_dailyexpress_raw.docx,Daily Express,14/3/2022,74 words,NA,Cold shoulder for refugees but not Channel migrants; Letters,"COULD someone explain to me how it is that Ukrainian refugees with very good reason to come here are having to jump through hoops to do so (""Priti relaxes UK visa rules for refugees"", March 11)? Every day we are told the number of economic migrants arriving on dinghies without the correct paperwork, if any at all.They are picked up, driven to hotels, given money, etc, while genuine cases are facing major hurdles. Christine Brough, Harborne, W Mids",Tabloid,1,2022-03,1,Migration
353,urc_dailyexpress_raw.docx,Daily Express,16/5/2022,145 words,Catherine Lough,Culture courses for UK hosts,"FAMILIES hosting Ukrainian refugees are being offered lessons on its culture and language to help their guests feel at home. The Open University (OU) will launch the online course later this summer. Free online English lessons and mental health support for Ukrainians will also be available. The OU has waived fees for current Ukrainian students and is offering 12 sanctuary scholarships, worth £240,000, to prospective applicants. Vice-chancellor Tim Blackman said the university is ""appalled"" by the war and wants to support people ""in the best way we can, by providing free online learning, scholarships and financial assistance for Ukrainians as they seek refuge in the UK, as well as educational resources for hosts"". He added: ""We believe that accessible education is a powerful tool for improving people's lives and will continue to mobilise resources to show our support.""",Tabloid,1,2022-05,1,Aid
250,urc_dailyexpress_raw.docx,Daily Express,5/11/2022,121 words,NA,'UKRAINIAN REFUGEES OUSTED FOR MIGRANTS',"ASYLUM seekers are to be moved from Kent to a hotel close to Rishi Sunak's constituency home. But the Home Office plan has been met with opposition after it was claimed refugees fleeing Ukraine are being relocated 30 miles away. Loc fam leNn Locals say seven Ukrainian families have been told to leave Allerton Court, in Northallerton, North Yorks, nine miles from the Prime Minister's £1.5million manor house in Kirby Sigston. MhT mov make w They say they are being moved to Stockton-on-Tees to way for Manston migrants. Hambleton District Council said the plan is going ahead despite concerns. A Home Office statement said: ""We have not yet taken occupancy of the hotel but have been assured there are no Ukrainians resident in it.""",Tabloid,1,2022-11,1,Conditions
363,urc_dailyexpress_raw.docx,Daily Express,6/5/2022,191 words,Frederick Forsyth,SLOW PROGRESS OF THE CIVIL SERVICE JOBSWORTHS MAKING BRITAIN UNFIT FOR PURPOSE,"THERE may well be some who feel I am too harsh in my comments on the degeneration of our Civil Service from excellent to disastrous but daily revelations bear me out. We needed the jobsworths to get our loyal helpers out of Afghanistan as the Taliban swept back in and Biden scuttled. Half of them were left desperate at Kabul airport while their visas were being shuffled. Thank you, Foreign Office.We wanted to welcome Ukrainian refugees, mostly women and children, fleeing Putin's savagery. Many queued in Polish snow waiting for their paperwork to be finalised. Thank you Home Office. Government has admitted DVLA Swansea has simply disintegrated. Now the Passport Office has gone the same way. That comes under the Home Office and so Priti Patel.When she complains the performance of her own department is not good enough the perm sec, Matthew Rycroft whines ""You are being unkind to us."" It's quite OK by him if the head of the Passport Office stays sipping coffee at home. Now Michael Gove has weighed in for Priti Patel. Covid, the universal excuse for bone idleness, won't work any more. Never mind the public, even ministers have had enough.",Tabloid,1,2022-05,1,Conditions
311,urc_dailyexpress_raw.docx,Daily Express,4/5/2022,109 words,Michael Knowles,"REFUGEE VISAS WERE NOT QUICK ENOUGH, ADMITS PM","THE Prime Minister has admitted that the Government could have been quicker in helping Ukrainian refugees fleeing Vladimir Putin's brutal war. Boris Johnson said ""large numbers"" of those seeking refuge are now coming to Britain. But the bungled start to the visa schemes designed to help Ukrainian refugees left many families in limbo, with some forced to wait in other European countries while their UK visa applications are processed. The PM said: ""So far, 86,000 visas have been issued and 27,000 are already here. Could we have done it faster? Yes, perhaps we could."" But he added: ""It's important to protect the system from those who might want to abuse it.""",Tabloid,1,2022-05,1,Policy
267,urc_dailyexpress_raw.docx,Daily Express,22/3/2022,387 words,Hanna Geissler,Tiny but welcoming village in Moldova is an example to world,"THE residents of a tiny village in one of Europe's poorest countries have set a heartwarming example by opening their homes to hundreds of Ukrainian refugees. Palanca in south-east Moldova has a population of 2,000 but is one of the main border crossings for those fleeing the war. Its mayor, Dumitru Cozlovschi, said he was proud of the way his people responded to the sudden influx of evacuees. He said: ""I was not surprised. I knew that Moldovans are kind and helpful in times of need. But I was not sure how many families could actually host somebody."" In the immediate aftermath of Vladimir Putin's onslaught, the free bus system that now ferries people to Romania or larger Moldovan cities had yet to be set up. Some refugees - mostly women and children - crossed the border with no idea what their next step would be. Mr Cozlovschi began calling residents to ask whether they would take people in. Half of the remote village's 250 homes have volunteered. And since the war started 1,000 refugees have been registered as staying in Palanca for at least one or two weeks. Mr Cozlovschi said the true figure is likely to be higher. Around 200 adult refugees and 80 children are still living in Palanca. Among them is Diana Avetisian, 20, who fled Odesa with her boyfriend and his family. They are staying at Casa Veche guesthouse, one of three in the village supported by the United Nations Development Programme (UNDP). She said: ""We heard the sound of bombing and decided to pack our stuff and get out."" Diana's boyfriend Roman Riabykh, 25, crossed the border just an hour before men aged 18 to 60 were banned from leaving Ukraine. They were with his mum Marina Vinogridova, 44, and brother Hleb, nine. Diana said she was grateful to be able to stay close to the border and her parents, who remain in Odesa. She added: ""It's amazing. We didn't expect Moldovan people to treat us so well. Everyone seems to be so friendly, so hospitable and we were so blessed."" ? A GROUP of Ukrainian orphans due to fly to the UK are stuck in Poland after key paperwork was not provided in time by their government. The 52 travellers, aged two to 19, and their carers were due to fly from Warsaw to London yesterday before making their way to Scotland later in the week. Charity Dnipro Kids in Edinburgh is now looking at alternative travel options. Graphic   Safe...Diana, Marina and Hleb, nine",Tabloid,1,2022-03,1,Conditions
229,urc_dailyexpress_raw.docx,Daily Express,28/11/2023,384 words,Michael Knowles,Gove blames lack of housing on arrivals but admits homes failings,"MICHAEL Gove says mass migration has fuelled the housing crisis. The minister said Government must increase homes being built and cut the legal entry of people. This comes after net migration has hit new records. More than a million people came to Britain to live in the past year as the Government faces political pressure to reduce arrivals. Asked if the UK did not have the number of homes to match the demand from immigrants, the Housing Secretary told Times Radio: ""Migratory flows put more pressure on housing but we haven't built enough homes overall for generations. ""This Government is going to hit its target of a million new homes in this Parliament but we do need to go further. This year, I outlined a long-term plan for housing, which will allow us to build more homes, particularly making effective use of brownfield land."" With net migration of 745,000 last year, the Government would need to massively increase housebuilding and significantly reduce immigration to meet the challenge, he said. Mr Gove added: ""It's important when looking at the migration figures to recognise some of these figures are students, some are Ukrainian refugees, some are British nationals from Hong Kong. ""But we need to bring migration down. And we need to build more homes."" Meanwhile, an g using val com- ""acute and overlooked"" shortage of affordable housing poses a threat to the survival of communities in rural England, a countryside charity warned. y ng ryside ices, Locals are being driven out of the countryside by record house prices, low wages and a surge in second homes and short-term lets, the CPRE reveals in a report published today. Its chief erm n g Roger Mortlock said: ""Decades of inaction have led to an affordable housing crisis that is ripping the soul from our rural communities. The next government must set and deliver ambitious targets for new, affordable and social rented rural h ripp r ties. ment mu am a housing, curbing the boom of second homes and short-term lets."" It would take 89 years to clear the social housing waiting list under the current build rate, a CPRE report found. A Government spokesperson said: ""We are unlocking a new pipeline of rural housing by reforming our planning system and offering greater freedoms on farm buildings to support a new supply of affordable homes."" Graphic   Long-term plan...GoveR. Rural concern ...MortlockBuild issue...homes shortfall 'for generations'",Tabloid,1,2023-11,0,Policy
345,urc_dailyexpress_raw.docx,Daily Express,20/4/2022,116 words,Ann Widdecombe,Archbishop needs to do home work,"AMID all the concern for Ukrainian refugees, let us not forget the Afghan interpreters. It is reported that some of those who fled Afghanistan and were brought here for their own safety are still in hotels after eight months. At the last count this applied to some 11,500 refugees whose lives are on hold while they wait for stable settlement. That is scandalous in human terms and vividly illustrates the problems of settling perfectly lawful and welcome immigrants in proper homes. Perhaps the Archbishop of Canterbury, above, who decries the Government's efforts to stem the flow of channel crossings and people trafficking as ""ungodly"" could tell us where all the illegal ones are going to be put?",Tabloid,1,2022-04,1,Conditions
343,urc_dailyexpress_raw.docx,Daily Express,5/4/2022,106 words,NA,"JUST 4,700 REFUGEES GIVEN A VISA","ONLY around one in 10 Ukrainian refugees hoping to be hosted by a British family has been granted a visa so far, figures show. Of 32,200 people who have applied to come to the UK under the Homes for Ukraine scheme, just 4,700 have one. Downing Street said a further 32,800 have applied to join family under another system and 24,400 were given permission. But No10 was unable to say how many refugees have so far arrived in the country. The Prime Minister's spokesman said the Government was ""working to streamline the process"". Welsh Secretary Simon Hart denied the Home Office had become complacent amid growing ""frustration"". COMMENT: PAGE 12",Tabloid,1,2022-04,1,Policy
