ID,Source_File,Newspaper,Date,Length,Author,Headline,Article,Newspapertype,relevance
25,urc_dailymail_raw.docx,Daily Mail,13/3/2022,847 words,Glen Owen,"GOVE: SEIZE OLIGARCH MANSIONS TO HOUSE REFUGEES; As No10 pledges £350 a month for those who take in families fleeing war, Minister has an even bolder plan... EXCLUSIVE","RUSSIAN oligarchs' multi-millionpound mansions would be seized and used to house Ukrainian refugees under an extraordinary plan being championed by Michael Gove. The Levelling Up Secretary has argued passionately in Cabinet that the move would be 'payback' for Russian President Vladimir Putin's cronies in Britain. His plan is being blocked by senior figures in the Treasury and the Foreign Office who believe it is 'not legally workable', but one supporter of the Gove scheme last night angrily described opponents within Government as 'oligarch apologists'. The row came as No10 announced that ordinary families who house Ukrainian refugees will be paid £350 a month under a new 'Homes for Ukraine' scheme. It's hoped that tens of thousands of people will be accommodated under the scheme, helping to tackle Europe's biggest refugee crisis since the Second World War. More than 2.3million people have fled the war in Ukraine and another 1.9million are displaced within the country, a United Nations official has said. The plans come after the Home Office was heavily criticised for its 'chaotic' response to the humanitarian disaster. In contrast, the British people have acted quickly and generously to help. The recordbreaking Mail Force Ukraine Appeal has reached a remarkable £6.6million alone. In another grim day in Ukraine yesterday: Kyiv became a fortress ahead of an expected onslaught, with Russian forces now within 15 miles of the capital's centre; Russian shelling of besieged cities including Kharkiv, Mykolaiv, Dnipro and Sumy continued as one governor said the South-Eastern city of Volnovakha has been destroyed; Putin rebuffed a new appeal for a ceasefire but, in a glimmer of hope, negotiators discussed 'concrete' proposals for a peace deal for first time as Ukrainian President Volodymyr Zelensky said he was willing to negotiate, but would not surrender nor accept ultimatums; Zelensky said 79 children had been killed in Ukraine during the war and 1,300 Ukrainian troops, but claimed the Russian army has suffered its largest losses in decades, with an estimated 6,000 deaths; Moscow threatened the West that any military shipments to Ukraine will be seen as 'legitimate targets', prompting fears the conflict could dramatically escalate; Putin was urged to lift the siege of the southern city of Mariupol where more than 1,500 civilians have died; Residents took to the streets of the occupied city of Melitopol to protest against the abduction of its mayor by Russian forces; Intelligence sources claimed Putin may be suffering from dementia, Parkinson's disease or 'roid rage' resulting from steroid treatment for cancer. Mr Gove, who first raised the prospect of seizing oligarchs' homes in Cabinet a fortnight ago, ran into opposition last week at the first meeting of a sub-committee looking into the UK's refugee response. At the meeting, Foreign Office Minister James Cleverly and Treasury Minister John Glen expressed their departments' reservations about the idea. Last night, a backer of Mr Gove's plan said: 'The opposition is being led by oligarch apologists who hide behind the rule of law.' But one of Mr Gove's opponents said the plan is 'not legally workable' and condemned it as 'gesture politics more suited to a banana republic'. Under the 'Homes for Ukraine' scheme, sponsors who provide accommodation rent-free for a minimum of six months will receive a 'thank you' of £350 per month, however many refugess they take. Sponsored refugees will be granted three years leave to remain in the UK and be allowed to work and access public services. Mr Gove said: 'The crisis in Ukraine has sent shockwaves across the world. The UK stands behind Ukraine in their darkest hour and the British public understand the need to get as many people to safety as quickly as we can. I urge people across the country to join the national effort and offer support to our Ukrainian friends.' A website will launch tomorrow to allow sponsors to register offers of accommodation. Those applying will be vetted and Ukrainians will undergo security checks. However, as The Mail on Sunday reports today, security chiefs have expressed concern at watering down visa requirements. Home Secretary Priti Patel has been criticised over the slow rate of approval of visas for Ukrainian refugees, prompting Boris Johnson to demand an end to 'hostile leaks' from within her department. But many organisations are already stepping up, such as London's Great Ormond Street Hospital, which is set to receive ten children with cancer who were evacuated from Ukraine in an incredible rescue mission. Meanwhile, Chelsea Football Club was thrown a lifeline by the Government yesterday as officials agreed it could be sold by its sanctioned owner Roman Ambramovich. And amid calls for Chancellor Rishi Sunak to cut fuel duty as the price of oil spirals because of the sanctions, Mr Johnson is set to travel to Saudi Arabia in an attempt to negotiate increased supplies. Tomorrow the PM will host leaders of the Joint Expeditionary Force, a Northern European security coalition, at Chequers. Comment: Page 24",Tabloid,1
30,urc_dailymail_raw.docx,Daily Mail,7/6/2023,298 words,David Barrett,Boat migrants will be put on ex-cruise liners,"CHANNEL boat migrants will be housed on cruise ships for the first time, the Daily Mail can reveal today. Rishi Sunak announced the acquisition of two vessels on Monday and it can now be confirmed they are passenger liners. They will house up to 1,000 small boat migrants between them but the ships' names are being withheld by the Home Office. Although cruise liners have not before been used for Channel arrivals they have hosted Ukrainian refugees in Scotland. One of the vessels secured by the Home Office is thought to be heading for Merseyside. The site being looked at for the other cruise ship is unclear but Teesport, near Middlesbrough, is thought to be a contender. Newcastle, Felixstowe in Suffolk, Harwich in Essex and the Royal London Docks are also under consideration, The Guardian reported. In a speech at Dover on Monday Mr Sunak said: 'To reduce pressures on local communities, we'll also house people on ships. The first will arrive in Portland in the next fortnight. And we've secured another two that will accommodate another 1,000.' The Mail reported yesterday that the French authorities are intercepting more than half of the crossings, compared with four in ten last year. About 7,600 people have crossed the Channel illegally so far this year, down from just under 10,000 in the same period last year. Using hotels as migrant accommodation is costing the taxpayer £6million a day. Former Ministry of Defence bases at Wethersfield in Essex and Scampton in Lincolnshire are due to receive their first migrants soon with numbers rising to 3,000 by autumn. Civil servants are also planning accommodation centres at Bexhill, East Sussex, and Catterick, North Yorkshire. Last night Dorset Council said it was dropping a challenge against the Home Office's plan for the Portland ship.",Tabloid,1
33,urc_dailymail_raw.docx,Daily Mail,25/4/2022,205 words,NA,WFH penpushers are letting Britain down; COMMENT,"AT the peak of the pandemic, it was necessary and justified for taxpayer-funded civil servants to work from home. But with Covid firmly behind us and the adult population overwhelmingly vaccinated, it is now safe to get together. Yet disgracefully, the Left-wing Whitehall workforce is brazenly defying ministerial pleas to return to their desks. If the NHS, transport and shop workers who risked their lives during lockdown had pouted like the privileged public sector 'blob', the country would have collapsed. The civil service union (which, risibly, denounced the idea of going back to the office as 'vindictive') insists staff operate just as efficiently at home. But that's bilge. Working from a spare room is less productive. Tasks take longer. Telephone calls and emails go unanswered. It is clear from the abysmal performance on issuing driving licences, visas for Ukrainian refugees and passports that we are being shortchanged. Efficiency minister Jacob Rees-Mogg is spot on when he warns that those who refuse to return to Whitehall risk losing extra pay and perks. Ministers have promised a cull of bloated civil servant numbers. If the troublemakers dig their heels in, they will only have themselves to blame when the axe falls.",Tabloid,0
34,urc_dailymail_raw.docx,Daily Mail,4/1/2023,256 words,NA,Did the right people get New Year Honours?; DEBATE,"SURELY the time has come to take a new look at how gongs are handed out in the New Year Honours List. Once again the pats on the back are cringe-making, with a knighthood for Permanent Secretary Matthew Rycroft, the Home Office's top mandarin. This is even though he has been accused of thwarting ministers' attempts to stop Channel crossings and undermining the plan to send some migrants to Rwanda. It would be laughable if it wasn't so serious. Let's restrict honours to people who work hard to help their local communities for no reward. Civil servants seem to expect a gong as part of their well-paid jobs. PAUL MARSTON, Walsall, W. Mids. NANNY Louenna Hood raised £190,000 for Ukrainian refugees and is given the lowest honour, the British Empire Medal (BEM), while a top civil servant who blocked the Government's plans to tackle migration is awarded a knighthood. It's time the honours system was reviewed. JACQUELINE INSTONE, Darlington, Co. Durham. FOUR of the Lionesses have been awarded gongs for services to women's football but the other members of the team were blanked. An indication, if one were needed, of how utterly perverse the honours nonsense is. B. CHANNING, Pembroke. IT HAS been claimed that it was decided not to honour every member of the women's football team that won the first nondomestic trophy since 1966 because of the danger of 'carpet-bombing'. In 2005, the whole England cricket team were honoured for beating the Australians to win the Ashes. Double standards or what? PAUL CONSTABLE, Colchester, Essex.",Tabloid,0
37,urc_dailymail_raw.docx,Daily Mail,21/3/2022,560 words,Chris Brooke,UK-bound refugees 'sleeping rough' due to red tape delays; war in ukraine,"UKRAINIAN refugees waiting for UK visas are being forced to sleep rough amid anger over red tape delays. Host families have slammed the 'nightmarish' bureaucracy that is said to be prolonging the process for women and children who have fled the conflict. Volunteers have warned that delays could be putting refugees at risk amid claims of trafficking. Under the first phase of the Homes for Ukraine scheme, Britons can sponsor refugees for a visa and offer them a rent-free room in their house. Once a host family has been found, refugees must complete visa application forms - providing identity documents and answers to detailed questions in English. There is then a further wait before the visa is issued, with government information saying the process can take up to six weeks. Ruth McMenamin, a volunteer in Poland, said that UK-bound refugees were sleeping in train stations and emergency accommodation as they awaited permission to travel. The marketing head, who works for a travel company in the UK, added: 'There are dangers in having to wait around for applications to be processed as these women and children have nowhere to live. There are reports of trafficking. 'The process needs to be sped up. Other countries are allowing people to go straight there.' Although the first refugees under the scheme are due to arrive this week, host families have said they have 'absolutely no idea' how long the process will take. Lee Havenhand, 33, and his wife Rebecca, 30, are to share their three-bedroom home with a mother and two daughters. The couple, who live near Doncaster were 'matched' with the family through a Facebook site and were inspired to help after having visited Ukraine regularly for holidays. Engineer Mr Havenhand said he helped the family, from Lviv in western Ukraine, with the visa process by filling in the required forms for them. But he added: 'It's a good job we did because the forms are an absolute nightmare. They took us six hours because of the amount of information and evidence that is required. 'It asks for children's birth certificates - which is a problem for many people who have already fled their homes. They also ask for proof of father's consent, which is not always possible if he has gone off to fight in the war. 'It's a shambles. We just have to cross our fingers that it is going to go through soon.' A 58-year-old woman, who is to share her home in Derbyshire with a Ukrainian woman and two daughters, also said the process was 'absolutely impossible'. The married woman, who asked not to be named, said the refugees she had been matched with had travelled from a village near Lviv to Berlin but wanted to move to the UK as the elder daughter spoke English. However, the 'traumatised' family have been sleeping on the floor of a rest centre while they wait for visas. 'There is no way on God's given earth that they could have filled those forms in,' she said. 'There are huge risks because of the information and detail I had to give as well - certainly enough to steal your identity. To make it worse, nobody knows how long it will take.' A government spokesman said it is making changes to the visa process so it is 'quicker and simpler' for Ukrainian refugees. These include expanding capacity at Visa Application Centres and allowing valid passport holders to miss in-person appointments. 'Dangers in having to wait around'",Tabloid,1
57,urc_dailymail_raw.docx,Daily Mail,8/12/2022,805 words,Jenni Murray,What next when the joy of hosting refugees goes sour?,"IT SEEMED such an obvious thing to do. When the Government launched its Homes for Ukraine scheme in March, women and children were amassing at the Ukrainian borders, desperate to escape Russia's indiscriminate bombing. We could help. Households with a bit of space, mine included, could promise to provide support for at least six months in return for £350-a-month payments from the Government. Not that the money seemed to matter. The reason for most of us was simply humane. We could offer comfort and safety. Now, nine months on with little sign of an end to the war, the faults in what seemed such a good idea are starting to manifest themselves. The number of homeless Ukrainian refugees in England are 'spiking dramatically'. My heart goes out to the 900 single people and 2,000 families with children who came here seeking sanctuary and who are now - shockingly - officially homeless. But my sympathy also extends to those who took in desperate refugees but now, faced with the rise in the cost of living, find they simply can't afford to house, feed, heat and give endless assistance to people who need professional care and advice. Very few of us, I suspect, have had any training in how to give psychological support to frightened, damaged families. LAST month one member of my Homes for Ukraine WhatsApp group posted, 'Are we the only ones with a guest struggling deeply with the sound of fireworks? It's horrific.' There are 81 members of the group and it's rare to find reports of host/guest relationships breaking down because of disagreements. Most commonly it's concerns about money. 'I have not had the November payment, either', or 'I haven't been paid at all since September', or 'Any update on the increased payments (or lack thereof)?' The group is a fascinating record of the shift in attitude to hosting. In the early days, there was excitement about picking up guests from the airport, followed quickly by anxiety about visas, home visits, DBS checks, whether or not to cook for your guests and getting the £350 'thank you' payment. One member was grateful for this 'stress-reducing forum'. As time passed, concerns started being raised about what would happen after the promised six months were up. Now the most frequent posts are expressions of deep anxiety about housing options. Natalia, a mother who arrived with her 14-year-old son, is a classic example. She'd been with her host in North London since May. She has a job, earning just over £1,000 a month. Her son is at a local school. She gets Universal Credit. She would like to move out and rent a small flat. But it's incredibly difficult for Ukrainian refugees to find a suitable place they can afford. She would need housing benefit. The job centre isn't forthcoming with advice. Councils don't have the housing stock that's needed. One contributor offered to share her experience of trying to help her guests find accommodation. 'I'd be happy to talk through the minefield of bureaucracy and rental challenges I have encountered. 'The BRP [biometric residence permit, which proves a person's right to stay in the UK] and Universal Credit were a walk in the park compared to this!' Hosts are anxious about what is expected of them. Must they become financial guarantors for their refugees' private rentals? Can their guests depend on the council to house them? The joy of helping the desperate has turned into a sense of shame at wanting your own life back. Some 600 families have reportedly been placed in hotels and other temporary accommodation, and there is hope that the monthly government payments to hosts will increase, but nothing has been agreed. I have not had to face any of these difficulties because my lovely guests, Zoriana and Ustym, left me at the end of September to go home to Ukraine. I miss them and would willingly have hosted them for as long as it took, but I don't think it had ever occurred to me, when I offered a room to a 38-year-old woman and her 17-year-old son, how much frustrating work would be involved in getting the basics in place. If I hadn't had a car, I'm not sure how we would have managed as we chased around London getting their residence permit, National Insurance number, GP registration, bank account, a bit of cash from the council, a church they could go to every Sunday and an introduction to the workings of the trains and buses. Then the hunt for a school, a job for Zoriana and friends for Ustym. At times, it felt like a full-time job. I hear from Zoriana that back in Lviv there's no electricity and no water, and they hide in the basement. But at least they have somewhere they can call home. For too many refugees in the UK it seems a homeless Christmas is a very real possibility. Clearly the Government's humanitarian plan wasn't properly thought through. But it must act now - and fast - to fix it. Follow: @whjm",Tabloid,1
59,urc_dailymail_raw.docx,Daily Mail,17/3/2022,705 words,BY DAVID BARRETT HOME AFFAIRS CORRESPONDENT,FAST-TRACK VISAS TO BE GRANTED WITHIN HOURS',"VISAS for Ukrainians who want to come to Britain should soon be approved within hours', the new refugee minister said yesterday. Lord Harrington told MPs he expected thousands of evacuees to arrive next week under the Homes for Ukraine scheme. More than 138,000 Britons have now offered to open their homes to people fleeing the war. Financial organisations have assured ministers that the £350-a-month thank you' payment to hosts will not affect household insurance terms or mortgage clauses. It is not going to be deemed as a rental payment, it will not be treated as income,' said Lord Harrington. It had already been confirmed that the payments would not affect tax, benefits or council tax allowances. Lord Harrington said security checks would remain a crucial part of the visa process, but added: My instructions were to simplify the process as much as I possibly can. For people with passports it will be quite a seamless process. They will simply get an email back saying you have got permission to travel. I want to get that down to hours.' Asked if checks will be carried out on Homes for Ukraine accommodation before refugees are housed here, Lord Harrington replied: It may not be possible. I'm talking next week, I'm expecting thousands of people to come.' He said it was impossible to give assurances that Ukrainian refugees will not initially be housed in hotels. The Government is setting up a military hub' in south-east Poland to help refugees complete their applications to come to the UK. Armed Forces personnel will oversee help including digital devices and translation services. Abi Tierney, a senior Home Office official, told the Commons home affairs committee it was taking 24 hours to turn around an application. But she said that the 50-question online form that applicants must fill in will be significantly cut down within a few days. Tory MP Adam Holloway said the Government was not doing enough to tackle Channel crossings while doing too little to help Ukrainians: We're completely failing to stop what are essentially economic migrants, mostly fit young men, and yet we're making it incredibly difficult for women and children to come.' The Home Office has now handed out 5,500 Ukraine family scheme visas and received 20,000 applications in all. It came as the Bishop of Dover criticised the Government's policy for refugees. Rose Hudson-Wilkin said: We see on our screens the plight of the people of Ukraine. And I want to tell you this, that deep inside me there has been a rage.'   WANT TO HOST A REFUGEE? THEN GET IN TOUCH WITH ONE OF THESE CHARITIES... A RANGE of specialist charities are poised to help link up British hosts with Ukrainian refugees. The Homes for Ukraine scheme is due to launch tomorrow, but several groups have already started registering interest from volunteers. They include: refugeesathome.org Refugees at Home offers a wide range of information about the process of volunteer hosting and has an online registration process on its website. A spokesman for the charity said: We know from our own experience how many generous hosts are stepping forward to welcome refugees and we have had an unprecedented number of calls over the past two weeks. In the last few weeks, nearly 5,000 people have come forward to host via our website.' resetuk.org Reset Communities and Refugees says it will soon launch a matching portal to pair hosts with refugees in a safe and structured way'. The charity adds: We'll announce the launch of this on our website and social media channels.' Reset urges potential hosts to think through carefully what this will mean to you and your family', saying the Homes for Ukraine scheme will be a huge commitment'. Until the scheme is up and running, the charity urges potential volunteers to research other ways to help refugees. It suggests forming a community sponsorship group that will allow neighbours to welcome people to their areas, offering details about this on its website. shelter4ua.com Shelter 4 Ukraine's website is in Ukrainian but your web browser should offer to translate to English. It includes an online form to express interest in becoming a host, as well as providing other support, including transportation and childcare.   © Daily Mail",Tabloid,1
63,urc_dailymail_raw.docx,Daily Mail,23/5/2022,311 words,Chris Brooke,Now your Ukraine stamps help cancer battle,"GENEROUS readers who sent cheques to help Ukrainian refugees can be proud of helping another worthy cause as well. Envelopes enclosing around 70,000 cheques which were sent to the Mail Force appeal are being donated to the Bone Cancer Research Trust (BCRT) so that the stamps can go towards raising funds for its lifesaving research work. Dozens of bags full of envelopes have been delivered to the charity's headquarters in Leeds and volunteers will cut out the stamps, which will be sorted and sold in bulk by weight. The trust receives up to £20 a kilogram by selling the stamps to amateur and professional collectors across the country. Collectors will often buy large bags of stamps to look for certain postmarks. Unusual stamps and ones with slight defects can also be snapped up by collectors to improve their private collections. Envelopes donated for previous Mail Force appeals to raise funds for computers for children and to buy personal protective equipment for frontline health workers were also passed on to the cancer charity. The Ukraine refugee appeal was kick-started with £500,000 from DMGT, the Mail's parent company, at the request of Lord and Lady Rothermere, and has raised more than £11.5million so far. Laura Riach, the cancer charity's head of fundraising and communications, said: 'We would like to thank the Daily Mail for donating their used stamps to the Bone Cancer Research Trust's Stamp Appeal. We will turn these stamps into vital funds for our life-saving work, which will truly make a difference to all those affected by primary bone cancer. Last year our Stamp Appeal raised an incredible £11,835.' About 560 people are diagnosed with primary bone cancer in the UK every year, with around 355 annual deaths. Since BCRT was formed in 2006, it has awarded over £5.3million for research into finding a cure and funded 106 research projects. Graphic   Grateful: Staff at the Bone Cancer Research Trust in Leeds",Tabloid,1
103,urc_dailymail_raw.docx,Daily Mail,13/3/2022,478 words,Glen Owen,MI6 warned Priti Patel not to relax visa rules,"SECURITY chiefs have warned Priti Patel not to water down visa requirements for Ukrainian refugees because of the risk they could include Islamic State terrorists, mercenaries and mafia-linked criminals, The Mail on Sunday has learned. The Home Secretary has faced intense political pressure over the past week for the low number of refugees being allowed in to the UK, contributing to renewed speculation over her political future. But senior intelligence sources said Ms Patel had been 'placed in a very difficult position' because MI5 and MI6 had warned against a 'knee-jerk' reaction to the humanitarian crisis which could store up security problems for the future. Pressure has grown on Ms Patel after a number of stories appeared in the media criticising her performance over the issue. In the wake of the reports, Boris Johnson called Matthew Rycroft, Permanent Secretary at the Home Office, to demand a crackdown on 'hostile leaks' about Ms Patel - the latest evidence of tensions between the Home Secretary and her civil servants, who have been accused of obstructing her aims. Many IS soldiers are believed to have travelled to Ukraine from Syria after Russia intervened to aid President Bashar Assad's forces in 2015. They then joined the fight against Russia in separatist regions in the east of Ukraine. Chechen mercenaries are also fighting in the war on both sides, while security services also fear hardened criminals have been released from prison by both the Ukrainian and Russian regimes to fight. Organised crime bosses from Belurus are also believed to have entered Ukraine More than 1.5 million refugees have crossed the border into Poland since the start of the war, gaining them access to the EU. An intelligence source said: 'Noone disputes that this is a humanitarian tragedy, and that 99.9 per cent of the refugees are genuine. But we cannot just allow a complete open-door policy. 'Ukraine is a melting pot at the moment, and we have already been presented with fake passports. 'People talk about Poland being ""more generous"" than the UK but it's not that - their border has ceased to exist in any meaningful fashion, so we have to make sure we are not storing up problems for the future. 'The Home Secretary is right not to mount a knee-jerk response on emotional grounds. She has been put in a very difficult position'. The security services have also argued against plans for an online visa system, arguing that it would be too vulnerable to hacking by Moscow agents - both to sabotage it and to glean information about applicants. In addition, the security services are understood to have advised against an upscaled visa processing centre in Calais, fearing it would exercise too much of a 'pull factor' and could expose female refugees to the risk of coming into contact with people-traffickers. 'She's right not to act in an emotional knee-jerk way'",Tabloid,0
117,urc_dailymail_raw.docx,Daily Mail,18/9/2022,1411 words,NA,Inside story: how Ital y is still dressing Russia; Big-name brands are facing a dilemma over whether to continue selling their goods in Russia. So which ones are putting cashflow before conscience? John Hooper investigates IllustratIon: marcos FARINA,"The scene is an upmarket fashion store in Florence. A cheery middle-aged Russian couple have finished selecting their clothes and are ready to pay. The man brings out a roll of freshly minted (EURO)100 notes and starts to peel them one by one on to the counter. Russians, even those with foreign bank accounts, cannot pay by card because of sanctions imposed by Britain, the EU and the US in response to Russia's invasion of Ukraine. 'How many of these can we accept?' calls out the assistant as the crisp green notes pile up in front of her. Italy limits the amount of cash used to pay for a single transaction ? a ceiling imposed to curb tax evasion. The manageress appears and a solution is reached. The man and the woman divide their purchases to stay within the (EURO)2,000 limit and walk out smiling with two bags that bulge with elegant designer garments. These are difficult times for the fashion business. And nowhere more so than in Italy where large swathes of the population depend on design for their livelihood. An industry normally focused on turning taste into turnover all of a sudden found itself grappling with article 3h of European Council regulation 833/2014 (an amendment of 428/2022). This is the EU ordinance which bans the export to Russia of luxury goods ? anything on a long list of almost 50 kinds of apparel with a price tag of more than (EURO)300. For most of the continental fashion houses the sanction represents a ban on all shipments to Russia. But firms making cheaper pieces can continue to export without busting the regulations. Whether they are morally right to do so is another matter. A department of Yale University in the US has been assiduously tracking the reaction of corporations to the invasion of Ukraine. Firms have a legal obligation to respect sanctions, but because of the way the regulations have been framed, some companies do not need to abide by them. Others that respect the sanctions to the letter can nevertheless find that their wares still end up on sale in Russia, after having been diverted from a third country to which they have been legally exported. Opponents of Vladimir Putin's war who fled abroad say that friends in Russia can still buy many of the luxury items that were available before the invasion through Russian online retailers. 'The only difference is that they have to wait for seven days for the clothes or shoes to be delivered,' said a dissident who asked not to be named for fear of reprisals. Yale's 29-strong team of researchers grades the firms from A ('companies halting Russian engagements or completely exiting Russia') all the way down to F ('companies continuing business as usual in Russia'). Many of the luxury Italian brands ? Moncler, Salvatore Ferragamo, Prada and Zegna ? are rated B, the grade awarded to 'companies temporarily curtailing nearly all operations while keeping return options open'. Many French and German competitors are in the same category. A senior executive at one of the big Italian fashion houses says that since the embargo on luxury goods took effect in March, 'we've not shipped so much as a tiepin to Russia'. In the short term, the ban will cost his and similar companies surprisingly little. The figures give an impression that Italy's couturiers do not rely on selling to the family of Russian oligarchs. Valentino disclosed earlier this year that sales in Russia accounted for a mere three per cent of its turnover. But that omits all the beautiful gowns, shoes and bags purchased by Russian tourists abroad, whether in Rome, Portofino or in shops elsewhere such as London, Paris and New York. All those sales remain perfectly legal, as the Russian couple in Florence demonstrated. In the longer term, however, there may be a price to pay. The fashion houses risk being sued in the Russian courts. Most do not own the stores in which their wares are sold. They are run by local franchise-holders with whom they have contracts. And, in many cases, the brands are in breach of those contracts because they are not supplying their Russian partners with goods, particularly those priced under (EURO)300 not subject to the embargo. 'This is an area in which companies have struggled to balance their legal obligations with doing the right thing,' says Tom Cummins, a partner at Ashurst, a London law firm that has been advising firms on the sanctions. Set against the legal risks of cutting off supplies to Russia are the reputational dangers of exporting items that are not covered by the sanctions. 'Consumers may well say, ""I don't want to buy your products any more because you're continuing to profit from business in Russia,""' says Cummins. 'Young people are particularly sensitive to ethical issues.' In fashion, the further you go down the market where products cost less than (EURO)300 and young consumers are in a majority, the trickier the balancing act becomes. Milan-based Yoox, the global online retail giant, is an example of a firm that could have continued working with Russia but decided not to. Its website offers plenty of products under (EURO)300. But within days of the invasion it suspended all its activities in Russia, posting a message in Russian on its website that read: 'Due to the current situation, we are unable to complete any new orders in your country.' According to Yale, however, four of the best-known names in Italian fashion have taken a different approach. Armani, Benetton, Diesel and Calzedonia have all been consigned to the 'sin bin' with the lowest possible grade, accused of carrying on as if nothing had happened. The most surprising is Armani, since it hardly belongs to the cut-price end of the market, even if its Emporio Armani stores appeal to a young clientele. When asked to comment, the Armani group issued a statement that said it 'does not operate directly in Russia and the shops operating in the country with the brands of the group are managed by independent franchisees'. It added that Armani 'adheres with strict compliance to the sanctions regime issued by the EU'. A spokesman said the group had suspended its online sales, but did not respond to a question as to whether it was exporting products priced less than (EURO)300 to the shops operating under its brand name. Diesel said that it had closed its online activities. It stressed that it did not have shops of its own in Russia and that it was respecting the sanctions while noting that they do not apply to products selling for less than (EURO)300. Calzedonia simply refused to discuss the matter. As for Benetton, a company that for decades has linked its products to notions of diversity and racial equality, its website declares: 'Social responsibility is intrinsic to Benetton Group and has always been expressed through a way of ""doing business"" that is based on principles of respect for the environment and people ? at all levels ? and on campaigns defending human rights.' True to these fine principles, after the invasion, 'Benetton Group immediately expressed its deepest concern for the ongoing dramatic humanitarian crisis,' according to a statement provided to YOU. 'Within this context, the company has decided to suspend all its development business plans in Russia, allocating its commercial investments in favour of humanitarian assistance for the Ukrainian people handled by the Italian Red Cross.' The Italian conglomerate has 'also donated garments to Ukrainian refugees and is providing protection and support to Ukrainian refugees in Italy,' the statement said. But donating clothes and cash is one thing and, in the present circumstances, putting future investment on hold might even be seen as a sound business decision. But what about stopping business in Russia to make the point that invading another sovereign nation does not square with respect for people 'at all levels', let alone 'defending human rights'?No dice. 'Benetton Group,' the statement continued, 'has decided to continue its commercial activities in Russia, based on longstanding relationships with commercial and logistical partners and on a network of stores employing over 600 families.' For some fashion houses, expressing solidarity with Ukraine does not translate into halting commercial operations in Russia. But whether customers understand that and whether it will influence their choices as consumers remains to be seen. John Hooper is Italy correspondent at The Economist 'BENETTON HAS DECIDED TO CONTINUE ITS COMMERCIAL ACTIVITIES IN RUSSIA' Graphic   Industry IllustratIon Central",Tabloid,0
